State,Name,,ID,Mode,Vehicles Operated in Maximum Service,,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Actual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Annual Unlinked Passenger Trips,,Annual Passenger Miles,
AZ,City of Mesa,,9129-B,MBp,23,,35,,"1,366.4 ",,"1,503.2 ",,"1,365.9 ",,100.8 ,,91.7 ,,878.8 ,,"2,120.6 ",
AZ,City of Tempe Transp Div,,9172-B,MBp,76,,91,,"3,770.2 ",,"4,074.4 ",,"3,751.8 ",,334.1 ,,308.0 ,,"3,892.1 ",,"9,782.5 ",
AZ,City of Tucson,,9033-A,DR,57,,64,,0.0 ,,"2,152.6 ",,"1,823.5 ",,174.0 ,,151.0 ,,294.7 ,,"2,606.1 ",
,,,,MB,159,,199,,"6,820.6 ",,"7,708.8 ",,"6,811.5 ",,569.8 ,,515.5 ,,"15,570.1 ",,"65,471.1 ",
,,,,Total,216,,263,,"6,820.6 ",,"9,861.4 ",,"8,634.9 ",,743.8 ,,666.5 ,,"15,864.8 ",,"68,077.2 ",
AZ,Glendale Dial-A-Ride,,9034-B,DR,12,,15,,0.0 ,,304.6 ,,281.5 ,,23.0 ,,20.7 ,,66.5 ,,452.4 ,
,,,,MB,3,,8,,124.8 ,,126.0 ,,124.4 ,,8.3 ,,8.1 ,,65.6 ,,216.6 ,
,,,,MBp,1,,2,,31.4 ,,34.6 ,,30.9 ,,2.8 ,,2.5 ,,6.8 ,,22.4 ,
,,,,Total,16,,25,,156.2 ,,465.2 ,,436.7 ,,34.1 ,,31.3 ,,138.9 ,,691.4 ,
AZ,Maricopa Cnty Spec Transp,,9132-B,DRp,42,,70,,0.0 ,,894.4 ,,634.6 ,,65.7 ,,45.6 ,,141.5 ,,773.8 ,
AZ,Peoria Transit,,9140-A,DR,5,,9,,0.0 ,,191.5 ,,169.3 ,,11.3 ,,10.1 ,,37.3 ,,204.6 ,
AZ,Phoenix Publ Transit Dept,,9032-B,DRp,112,,136,,0.0 ,,"4,280.0 ",,"3,528.6 ",,312.9 ,,242.4 ,,442.1 ,,"3,376.3 ",
,,,,MB,286,,341,,"9,960.0 ",,"11,937.0 ",,"10,019.1 ",,883.6 ,,653.8 ,,"26,903.3 ",,"107,536.2 ",
,,,,MBp,52,,68,,"2,608.7 ",,"2,865.9 ",,"2,591.5 ",,177.5 ,,163.6 ,,"4,254.1 ",,"16,159.1 ",
,,,,Total,450,,545,,"12,568.7 ",,"19,083.0 ",,"16,139.2 ",,"1,374.0 ",,"1,059.7 ",,"31,599.5 ",,"127,071.6 ",
AZ,Phoenix-VPSI,,9169-D,VP,205,,369,,0.0 ,,"3,262.1 ",,"3,262.1 ",,81.9 ,,81.9 ,,743.0 ,,"19,852.5 ",
AZ,Regional Publ Transp Auth,,9136-B,DRp,44,,63,,0.0 ,,"1,302.4 ",,"1,099.1 ",,142.7 ,,118.3 ,,266.1 ,,"1,593.0 ",
,,,,MBp,55,,72,,"2,726.7 ",,"3,309.6 ",,"2,726.7 ",,244.1 ,,201.0 ,,"3,099.1 ",,"12,818.7 ",
,,,,Total,99,,135,,"2,726.7 ",,"4,612.0 ",,"3,825.7 ",,386.9 ,,319.3 ,,"3,365.1 ",,"14,411.7 ",
AZ,Scottsdale Connection,,9131-B,MBp,14,,19,,549.7 ,,605.1 ,,547.3 ,,43.0 ,,38.9 ,,139.1 ,,456.5 ,
AZ,Sun Cities Transit System,,9135-G,DR,12,,12,,0.0 ,,252.9 ,,222.6 ,,21.2 ,,19.1 ,,61.3 ,,208.4 ,
AZ,Surprise Dial-A-Ride TS,,9137-A,DR,2,,2,,0.0 ,,34.3 ,,33.3 ,,3.3 ,,2.8 ,,5.8 ,,34.3 ,
CA,Access Services,,9157-G,DRp,464,,518,,0.0 ,,"22,585.8 ",,"15,239.2 ",,"1,080.7 ",,665.7 ,,"1,697.3 ",,"18,623.2 ",
CA,Alameda Ferry Services,,9150-B,FBp,3,,3,,65.6 ,,70.9 ,,65.6 ,,7.4 ,,7.1 ,,668.8 ,,"4,194.2 ",
CA,Alameda-Contra Costa TD,,9014-B,MB,648,,768,,"22,639.5 ",,"26,133.3 ",,"22,577.7 ",,"2,110.4 ",,"1,941.5 ",,"70,572.8 ",,"215,847.3 ",
,,,,MBp,9,,11,,221.8 ,,281.5 ,,221.8 ,,14.1 ,,11.3 ,,235.9 ,,"2,812.8 ",
,,,,Total,657,,779,,"22,861.3 ",,"26,414.8 ",,"22,799.5 ",,"2,124.5 ",,"1,952.9 ",,"70,808.7 ",,"218,660.1 ",
CA,Altamont Commuter Express,,9182-B,CRp,21,,25,,595.9 ,,594.5 ,,594.5 ,,16.5 ,,16.5 ,,918.8 ,,"39,742.0 ",
CA,Antelope Valley Transit,,9121-B,DRp,10,,13,,0.0 ,,539.9 ,,484.4 ,,23.6 ,,21.3 ,,56.4 ,,670.2 ,
,,,,MBp,39,,46,,"1,958.8 ",,"2,094.4 ",,"1,880.1 ",,117.7 ,,103.3 ,,"2,338.4 ",,"31,854.4 ",
,,,,Total,49,,59,,"1,958.8 ",,"2,634.3 ",,"2,364.5 ",,141.4 ,,124.6 ,,"2,394.9 ",,"32,524.7 ",
CA,Arcadia Transit,,9044-B,DRp,18,,18,,0.0 ,,423.1 ,,385.2 ,,31.7 ,,30.0 ,,167.9 ,,492.3 ,
CA,Bay Area Rapid Transit,,9003-B,HR,507,,632,,"61,769.2 ",,"60,298.6 ",,"58,771.2 ",,"2,000.4 ",,"1,596.6 ",,"103,919.4 ",,"1,263,667.8 ",
CA,Central Contra Costa TA,,9078-B,DRp,38,,40,,0.0 ,,"1,267.6 ",,"1,080.2 ",,73.7 ,,64.4 ,,124.1 ,,981.3 ,
,,,,MB,104,,112,,"3,851.4 ",,"4,534.3 ",,"3,874.9 ",,326.7 ,,281.7 ,,"4,866.6 ",,"19,857.1 ",
,,,,Total,142,,152,,"3,851.4 ",,"5,801.9 ",,"4,955.2 ",,400.4 ,,346.0 ,,"4,990.7 ",,"20,838.4 ",
CA,Chico Area Transit System,,9127-B,MBp,13,,15,,520.3 ,,563.7 ,,520.3 ,,39.6 ,,37.0 ,,819.0 ,,"3,040.6 ",
CA,City of Commerce Muni Bus,,9043-A,DR,3,,3,,0.0 ,,61.5 ,,57.7 ,,4.1 ,,3.7 ,,6.7 ,,38.1 ,
,,,,MB,6,,11,,243.5 ,,246.0 ,,243.5 ,,19.4 ,,18.1 ,,912.6 ,,"3,930.7 ",
,,,,Total,9,,14,,243.5 ,,307.5 ,,301.2 ,,23.5 ,,21.8 ,,919.2 ,,"3,968.8 ",
CA,City of Gardena TD,,9042-B,DRp,8,,10,,0.0 ,,121.9 ,,106.4 ,,14.7 ,,12.9 ,,34.2 ,,109.2 ,
,,,,MB,40,,50,,"1,583.8 ",,"1,613.9 ",,"1,583.8 ",,115.6 ,,111.6 ,,"6,080.0 ",,"23,226.0 ",
,,,,Total,48,,60,,"1,583.8 ",,"1,735.8 ",,"1,690.1 ",,130.3 ,,124.5 ,,"6,114.2 ",,"23,335.1 ",
CA,City of Lodi,,9175-B,DRp,9,,12,,0.0 ,,303.1 ,,262.4 ,,24.6 ,,23.1 ,,84.3 ,,210.5 ,
,,,,MBp,5,,5,,281.5 ,,296.1 ,,281.5 ,,23.8 ,,22.4 ,,387.0 ,,"1,257.7 ",
,,,,Total,14,,17,,281.5 ,,599.2 ,,543.8 ,,48.4 ,,45.5 ,,471.2 ,,"1,468.2 ",
CA,City of Los Angeles DOT,,9147-B,DRp,144,,168,,0.0 ,,"4,764.9 ",,"4,284.7 ",,334.1 ,,294.5 ,,"1,073.0 ",,"4,915.0 ",
,,,,MBp,205,,256,,"6,570.0 ",,"8,937.8 ",,"6,570.0 ",,590.4 ,,522.7 ,,"21,220.9 ",,"56,081.0 ",
,,,,Total,349,,424,,"6,570.0 ",,"13,702.7 ",,"10,854.6 ",,924.5 ,,817.2 ,,"22,293.9 ",,"60,996.0 ",
CA,City of Napa-The VINE,,9088-B,DRp,24,,26,,0.0 ,,270.3 ,,233.2 ,,18.5 ,,13.7 ,,44.4 ,,243.9 ,
,,,,MBp,16,,23,,723.2 ,,737.8 ,,723.2 ,,47.3 ,,44.6 ,,867.7 ,,"2,938.0 ",
,,,,Total,40,,49,,723.2 ,,"1,008.0 ",,956.4 ,,65.7 ,,58.3 ,,912.1 ,,"3,181.9 ",
CA,City of San Luis Obispo,,9156-B,MBp,12,,16,,425.0 ,,438.6 ,,425.0 ,,39.7 ,,39.4 ,,951.9 ,,"8,131.3 ",
CA,City of Santa Rosa,,9017-B,DRp,8,,15,,0.0 ,,124.4 ,,61.6 ,,15.5 ,,10.4 ,,23.7 ,,111.2 ,
,,,,MB,21,,26,,946.2 ,,952.0 ,,944.4 ,,76.5 ,,76.2 ,,"2,338.3 ",,"6,617.5 ",
,,,,Total,29,,41,,946.2 ,,"1,076.4 ",,"1,006.0 ",,92.0 ,,86.6 ,,"2,362.0 ",,"6,728.7 ",
CA,Corona Dial-A-Ride,,9052-B,DRp,11,,11,,0.0 ,,307.1 ,,281.6 ,,20.4 ,,18.6 ,,74.6 ,,330.7 ,
,,,,MBp,4,,5,,79.9 ,,82.7 ,,79.9 ,,5.9 ,,5.3 ,,13.6 ,,0.0 ,W
,,,,Total,15,,16,,79.9 ,,389.8 ,,361.4 ,,26.3 ,,23.9 ,,88.1 ,,330.7 ,Q
CA,Culver City Municipal Bus,,9039-A,MB,28,,42,,"1,327.8 ",,"1,423.1 ",,"1,327.4 ",,128.5 ,,125.9 ,,"5,104.4 ",,"15,925.8 ",
CA,DAVE Transp Svcs-LA,,9158-D,DR,207,,209,,0.0 ,,"7,114.9 ",,"4,851.8 ",,501.7 ,,393.4 ,,713.2 ,,"6,561.7 ",
,,,,MB,53,,70,,"1,540.3 ",,"2,326.0 ",,"1,537.5 ",,139.8 ,,107.3 ,,963.1 ,,"4,949.1 ",
,,,,Total,260,,279,,"1,540.3 ",,"9,440.8 ",,"6,389.3 ",,641.5 ,,500.8 ,,"1,676.3 ",,"11,510.8 ",
CA,Eastern Contra Costa TA,,9162-B,DRp,13,,16,,0.0 ,,493.2 ,,467.8 ,,37.3 ,,34.2 ,,97.9 ,,606.7 ,
,,,,MBp,45,,56,,"1,777.8 ",,"2,113.0 ",,"1,765.2 ",,177.8 ,,129.2 ,,"2,113.9 ",,"12,758.1 ",
,,,,Total,58,,72,,"1,777.8 ",,"2,606.2 ",,"2,233.0 ",,215.1 ,,163.4 ,,"2,211.8 ",,"13,364.8 ",
CA,Fairfield/Suisun Transit,,9092-B,DRp,3,,5,,0.0 ,,94.5 ,,85.4 ,,7.9 ,,7.4 ,,18.5 ,,113.2 ,
,,,,MBp,18,,26,,825.6 ,,873.7 ,,825.6 ,,50.5 ,,47.7 ,,926.4 ,,"3,612.8 ",
,,,,Total,21,,31,,825.6 ,,968.2 ,,911.0 ,,58.4 ,,55.0 ,,944.9 ,,"3,726.0 ",
CA,Foothill Transit,,9146-B,MBp,0,,0,,0.0 ,,0.0 ,,0.0 ,,0.0 ,,0.0 ,,0.0 ,,0.0 ,
CA,Fresno Area Express,,9027-B,DRp,22,,25,,0.0 ,,868.9 ,,753.4 ,,57.7 ,,47.7 ,,100.8 ,,754.8 ,
,,,,MB,84,,110,,"4,026.5 ",,"4,277.2 ",,"4,020.6 ",,336.6 ,,300.9 ,,"13,178.5 ",,"46,208.1 ",
,,,,Total,106,,135,,"4,026.5 ",,"5,146.0 ",,"4,774.0 ",,394.3 ,,348.6 ,,"13,279.3 ",,"46,962.9 ",
CA,Golden Empire Transit Dst,,9004-B,DR,11,,13,,0.0 ,,358.8 ,,326.2 ,,20.2 ,,18.2 ,,41.5 ,,261.9 ,
,,,,DRp,11,,13,,0.0 ,,79.4 ,,72.2 ,,4.9 ,,4.5 ,,9.3 ,,58.9 ,
,,,,MB,66,,80,,"3,410.8 ",,"3,625.2 ",,"3,397.0 ",,259.0 ,,250.5 ,,"7,130.7 ",,"30,662.3 ",
,,,,Total,88,,106,,"3,410.8 ",,"4,063.3 ",,"3,795.4 ",,284.2 ,,273.2 ,,"7,181.5 ",,"30,983.0 ",
CA,GoldenGateBridge-Hwy&TD,,9016-B,DRp,26,,43,,0.0 ,,971.9 ,,828.5 ,,56.2 ,,48.0 ,,78.2 ,,616.9 ,
,,,,FB,5,,5,,183.6 ,,190.7 ,,181.1 ,,15.7 ,,15.0 ,,"1,885.6 ",,"21,813.9 ",
,,,,MB,223,,268,,"7,777.8 ",,"9,359.4 ",,"7,753.3 ",,471.1 ,,415.6 ,,"9,522.7 ",,"118,651.9 ",
,,,,MBp,10,,10,,205.1 ,,312.5 ,,204.8 ,,13.0 ,,7.5 ,,131.0 ,,"5,369.0 ",
,,,,Total,264,,326,,"8,166.5 ",,"10,834.5 ",,"8,967.6 ",,556.0 ,,486.1 ,,"11,617.5 ",,"146,451.6 ",
CA,Intelitran-Oakland,,9170-F,DRp,186,,186,,0.0 ,,"6,842.0 ",,"5,643.1 ",,467.8 ,,404.3 ,,711.6 ,,"5,624.1 ",
CA,Intelitran-SF,,9186-F,DRp,"1,098",,"1,352",,0.0 ,,"3,231.2 ",,"3,231.2 ",,264.3 ,,264.3 ,,"1,127.3 ",,"6,143.5 ",
CA,La Mirada Transit,,9024-A,DR,13,,13,,0.0 ,,175.6 ,,159.1 ,,11.3 ,,10.6 ,,78.9 ,,346.2 ,
CA,Laidlaw San Jose,,9190-D,DR,111,,195,,0.0 ,,"6,617.1 ",,"5,290.5 ",,419.7 ,,348.2 ,,471.1 ,,"5,290.5 ",
CA,Laidlaw Transit Services,,9178-D,MB,115,,138,,"6,086.3 ",,"8,015.6 ",,"6,082.4 ",,420.0 ,,374.0 ,,"10,815.2 ",,"44,498.6 ",Q
CA,Livermore/Amador Valley,,9144-B,DRp,10,,13,,0.0 ,,289.6 ,,257.4 ,,20.7 ,,18.9 ,,37.5 ,,338.2 ,
,,,,MBp,50,,67,,"1,903.8 ",,"2,219.8 ",,"1,903.8 ",,134.7 ,,123.4 ,,"2,201.5 ",,"9,653.2 ",
,,,,Total,60,,80,,"1,903.8 ",,"2,509.4 ",,"2,161.2 ",,155.4 ,,142.3 ,,"2,239.0 ",,"9,991.4 ",
CA,Lompoc Transit,,9149-B,DRp,2,,6,,0.0 ,,56.7 ,,53.4 ,,5.1 ,,4.9 ,,15.3 ,,53.1 ,
,,,,MBp,8,,8,,310.1 ,,323.7 ,,310.1 ,,18.0 ,,17.1 ,,125.0 ,,"5,403.3 ",
,,,,Total,10,,14,,310.1 ,,380.4 ,,363.5 ,,23.1 ,,22.0 ,,140.3 ,,"5,456.4 ",
CA,Long Beach Publ Transp,,9023-B,DRp,23,,23,,0.0 ,,380.5 ,,362.9 ,,18.9 ,,18.2 ,,87.3 ,,404.0 ,
,,,,FBp,2,,2,,1.2 ,,1.2 ,,1.2 ,,2.3 ,,2.3 ,,24.6 ,,6.2 ,
,,,,MB,161,,219,,"7,019.9 ",,"7,615.5 ",,"7,047.1 ",,669.5 ,,640.7 ,,"25,838.4 ",,"69,045.1 ",
,,,,Total,186,,244,,"7,021.0 ",,"7,997.1 ",,"7,411.1 ",,690.7 ,,661.2 ,,"25,950.2 ",,"69,455.3 ",
CA,Los Angeles Cnty Small Op,,9166-B,DRp,136,,170,,0.0 ,,"2,764.3 ",,"2,531.0 ",,219.9 ,,195.3 ,,825.3 ,,"3,408.8 ",
,,,,MBp,105,,123,,"2,830.6 ",,"3,073.0 ",,"2,830.6 ",,289.5 ,,259.7 ,,"7,269.0 ",,"15,774.2 ",
,,,,Total,241,,293,,"2,830.6 ",,"5,837.3 ",,"5,361.6 ",,509.4 ,,455.0 ,,"8,094.3 ",,"19,183.1 ",
CA,Los Angeles County Metro,,9154-B,HR,70,,102,,"5,571.3 ",,"5,712.1 ",,"5,539.8 ",,261.2 ,,243.6 ,,"31,191.5 ",,"126,460.7 ",
,,,,LR,51,,81,,"4,401.0 ",,"4,415.4 ",,"4,366.8 ",,191.8 ,,185.6 ,,"30,610.1 ",,"213,339.2 ",
,,,,MB,"1,891",,"2,274",,"74,857.3 ",,"86,856.7 ",,"73,980.3 ",,"6,569.9 ",,"6,065.3 ",,"326,234.1 ",,"1,268,351.1 ",
,,,,MBp,135,,280,,"6,398.3 ",,"7,182.0 ",,"6,301.3 ",,510.3 ,,472.9 ,,"10,074.8 ",,"32,336.6 ",
,,,,Total,"2,147",,"2,737",,"91,227.9 ",,"104,166.2 ",,"90,188.2 ",,"7,533.2 ",,"6,967.4 ",,"398,110.5 ",,"1,640,487.6 ",
CA,Merced County Transit,,9173-B,DRp,12,,20,,0.0 ,,553.8 ,,494.1 ,,29.4 ,,27.8 ,,148.9 ,,"1,007.9 ",
,,,,MBp,15,,27,,"1,052.0 ",,"1,017.6 ",,"1,010.6 ",,47.0 ,,45.9 ,,973.4 ,,"2,132.2 ",
,,,,Total,27,,47,,"1,052.0 ",,"1,571.3 ",,"1,504.7 ",,76.4 ,,73.6 ,,"1,122.2 ",,"3,140.1 ",
CA,Modesto Area Express,,9007-B,DRp,12,,12,,0.0 ,,506.7 ,,506.7 ,,34.8 ,,34.8 ,,101.7 ,,612.4 ,
,,,,MBp,35,,43,,"1,498.1 ",,"1,561.3 ",,"1,493.6 ",,116.0 ,,110.3 ,,"3,713.8 ",,"13,126.1 ",
,,,,Total,47,,55,,"1,498.1 ",,"2,068.0 ",,"2,000.2 ",,150.8 ,,145.1 ,,"3,815.5 ",,"13,738.5 ",
CA,Montebello Bus Lines,,9041-B,DR,4,,5,,0.0 ,,74.7 ,,68.7 ,,8.3 ,,7.8 ,,24.1 ,,59.8 ,
,,,,MB,55,,66,,"2,403.5 ",,"2,474.5 ",,"2,395.0 ",,209.9 ,,205.3 ,,"7,705.7 ",,"18,108.5 ",
,,,,MBp,4,,4,,60.4 ,,70.5 ,,60.4 ,,6.1 ,,5.2 ,,86.1 ,,372.9 ,
,,,,Total,63,,75,,"2,463.9 ",,"2,619.7 ",,"2,524.1 ",,224.3 ,,218.3 ,,"7,816.0 ",,"18,541.2 ",
CA,Monterey-Salinas Transit,,9062-B,DRp,24,,24,,0.0 ,,850.2 ,,798.6 ,,39.1 ,,36.7 ,,116.5 ,,"1,013.9 ",
,,,,MB,75,,75,,"2,540.3 ",,"2,611.5 ",,"2,540.3 ",,201.0 ,,185.9 ,,"4,669.1 ",,"24,831.4 ",
,,,,MBp,5,,7,,196.7 ,,215.4 ,,196.7 ,,13.7 ,,12.8 ,,78.3 ,,505.3 ,
,,,,Total,104,,106,,"2,737.0 ",,"3,677.1 ",,"3,535.6 ",,253.8 ,,235.3 ,,"4,863.9 ",,"26,350.6 ",
CA,Municipal Railway,,9015-B,CC,26,,40,,535.3 ,,494.7 ,,494.7 ,,128.9 ,,128.9 ,,"8,478.0 ",,"9,516.7 ",
,,,,LR,124,,163,,"5,018.3 ",,"4,738.1 ",,"4,738.1 ",,518.1 ,,518.1 ,,"49,698.9 ",,"127,848.3 ",
,,,,MB,399,,577,,"13,092.3 ",,"14,370.9 ",,"12,448.0 ",,"1,523.0 ",,"1,405.6 ",,"96,032.0 ",,"196,788.9 ",
,,,,TB,265,,330,,"7,313.8 ",,"7,315.8 ",,"7,024.8 ",,"1,047.2 ",,"1,015.6 ",,"80,868.5 ",,"118,373.1 ",
,,,,Total,814,,"1,110",,"25,959.7 ",,"26,919.4 ",,"24,705.6 ",,"3,217.2 ",,"3,068.3 ",,"235,077.5 ",,"452,527.0 ",
CA,N San Diego Cnty Transit,,9030-B,CRp,28,,28,,"1,088.4 ",,"1,147.9 ",,"1,087.6 ",,31.4 ,,26.1 ,,"1,206.8 ",,"34,394.9 ",
,,,,DRp,30,,32,,0.0 ,,986.0 ,,892.7 ,,61.0 ,,53.6 ,,162.6 ,,"1,241.9 ",
,,,,MB,154,,154,,"8,669.2 ",,"8,822.0 ",,"8,194.4 ",,502.0 ,,477.5 ,,"10,905.9 ",,"65,435.5 ",
,,,,Total,212,,214,,"9,757.6 ",,"10,956.0 ",,"10,174.7 ",,594.4 ,,557.3 ,,"12,275.4 ",,"101,072.4 ",
CA,National City Transit,,9189-B,MBp,9,,12,,448.7 ,,466.3 ,,448.7 ,,43.3 ,,41.6 ,,"1,783.0 ",,"4,294.8 ",
CA,Norwalk Transit System,,9022-A,DR,4,,4,,0.0 ,,72.3 ,,64.5 ,,7.3 ,,6.5 ,,21.4 ,,60.2 ,
,,,,MB,17,,23,,936.9 ,,949.7 ,,936.1 ,,69.9 ,,67.0 ,,"1,668.6 ",,"6,190.5 ",
,,,,Total,21,,27,,936.9 ,,"1,022.0 ",,"1,000.6 ",,77.2 ,,73.5 ,,"1,690.0 ",,"6,250.6 ",
CA,OMNITRANS-Riverside,,9029-B,DRp,82,,100,,0.0 ,,"2,916.2 ",,"2,304.0 ",,187.8 ,,166.1 ,,481.5 ,,"4,161.4 ",
,,,,MB,131,,160,,"7,103.8 ",,"7,719.9 ",,"7,086.8 ",,572.7 ,,549.4 ,,"15,208.2 ",,"66,307.6 ",
,,,,MBp,5,,7,,501.9 ,,521.0 ,,489.0 ,,22.7 ,,21.4 ,,259.9 ,,"4,210.3 ",
,,,,Total,218,,267,,"7,605.8 ",,"11,157.1 ",,"9,879.8 ",,783.2 ,,736.9 ,,"15,949.6 ",,"74,679.3 ",
CA,Orange County Transp Auth,,9036-B,MB,411,,493,,"20,094.9 ",,"23,893.1 ",,"20,158.1 ",,"1,595.3 ",,"1,463.9 ",,"57,328.3 ",,"232,076.3 ",
,,,,MBp,0,,0,,0.0 ,,0.0 ,,0.0 ,,0.0 ,,0.0 ,,0.0 ,,0.0 ,
,,,,Total,411,,493,,"20,094.9 ",,"23,893.1 ",,"20,158.1 ",,"1,595.3 ",,"1,463.9 ",,"57,328.3 ",,"232,076.3 ",
CA,Outreach & Escort,,9160-F,DRp,154,,316,,0.0 ,,"4,417.2 ",,"4,417.2 ",,288.7 ,,288.7 ,,447.2 ,,"3,489.9 ",
CA,Peninsula Corridor JPB,,9134-B,CRp,93,,107,,"4,924.5 ",,"4,940.0 ",,"4,911.3 ",,157.9 ,,156.9 ,,"9,925.2 ",,"211,276.8 ",
