State,Name,ID,Org Type,Mode,TOS, VOMS,Vehicles Available for Maximum Service,,Service Supplied (Thousands),,,,,,,,,,Unlinked Passenger Trips,,,
,,6072,A,MB,DO,7,10,,91.2 ,,98.4 ,Q,80.1 ,Q,7.3 ,Q,6.5 ,Q,23.8 ,Q,137.8 ,Q
,,,,Total,,24,41,,91.2 ,,656.9 ,,529.8 ,,44.8 ,,37.2 ,,107.9 ,,"1,181.7 ",
AR,"University of Arkansas, Fayetteville (Razorback Transit)",,,,,,,,,,,,,,,,,,,,,
,,6062,A,DR,DO,3,4,,0.0 ,,40.7 ,,25.6 ,,6.9 ,,5.4 ,,7.7 ,,18.4 ,
,,6062,A,MB,DO,14,20,,255.1 ,,285.5 ,,267.5 ,,27.2 ,,26.7 ,,"1,311.4 ",,"1,573.7 ",
,,,,Total,,17,24,,255.1 ,,326.2 ,,293.1 ,,34.1 ,,32.1 ,,"1,319.1 ",,"1,592.1 ",
AZ,City of Glendale Transit,,,,,,,,,,,,,,,,,,,,,
,,9034,B,DR,DO,13,20,,0.0 ,,413.5 ,,379.2 ,,33.7 ,,29.6 ,,87.8 ,,483.9 ,
,,9034,B,MB,DO,5,8,,241.6 ,,245.4 ,,241.2 ,,17.9 ,,16.2 ,,175.6 ,,564.3 ,
,,,,Total,,18,28,,241.6 ,,658.9 ,,620.4 ,,51.6 ,,45.8 ,,263.5 ,,"1,048.3 ",
AZ,City of Phoenix Public Transit Department (Valley Metro),,,,,,,,,,,,,,,,,,,,,
,,9032,B,DR,PT,130,157,,0.0 ,,"5,434.8 ",,"4,603.7 ",,387.7 ,,321.4 ,,513.7 ,,"3,889.7 ",
,,9032,B,MB,PT,411,492,,"17,836.7 ",,"21,334.3 ",,"17,840.3 ",,"1,510.6 ",,"1,336.8 ",,"45,219.8 ",,"170,528.2 ",
,,,,Total,,541,649,,"17,836.7 ",,"26,769.1 ",,"22,444.0 ",,"1,898.2 ",,"1,658.2 ",,"45,733.5 ",,"174,417.8 ",
AZ,City of Tempe Transportation Planning and Transit Division (TIM - Tempe in Motion),,,,,,,,,,,,,,,,,,,,,
,,9172,B,MB,PT,87,115,,"4,276.7 ",,"5,157.1 ",,"4,272.7 ",,429.1 ,,357.8 ,,"6,909.9 ",,"22,148.2 ",
AZ,City of Tucson (COT),,,,,,,,,,,,,,,,,,,,,
,,9033,A,DR,DO,94,127,,0.0 ,,"3,136.5 ",,"2,572.7 ",,251.9 ,,213.3 ,,384.3 ,,"3,071.2 ",
,,9033,A,MB,DO,155,189,,"6,931.3 ",,"7,835.0 ",,"6,913.2 ",,578.3 ,,541.5 ,,"16,236.2 ",,"58,636.1 ",
,,,,Total,,249,316,,"6,931.3 ",,"10,971.4 ",,"9,486.0 ",,830.2 ,,754.8 ,,"16,620.5 ",,"61,707.3 ",
AZ,Coconino County Transportation Services (Mountain Line/VanGo),,,,,,,,,,,,,,,,,,,,,
,,9180,A,DR,DO,5,10,,0.0 ,,79.4 ,,68.3 ,,8.5 ,,6.7 ,,18.7 ,,98.1 ,
,,9180,A,MB,DO,7,14,,382.7 ,,406.7 ,,382.7 ,,28.3 ,,26.2 ,,426.3 ,,"1,047.2 ",
,,,,Total,,12,24,,382.7 ,,486.1 ,,451.0 ,,36.8 ,,32.9 ,,445.0 ,,"1,145.3 ",
AZ,Maricopa County Special Transportation Services (MCHSD),,,,,,,,,,,,,,,,,,,,,
,,9132,A,DR,DO,34,62,,0.0 ,,906.1 ,,729.0 ,,76.1 ,,61.9 ,,103.5 ,,523.0 ,
AZ,Peoria Transit,,,,,,,,,,,,,,,,,,,,,
,,9140,A,DR,DO,8,9,,0.0 ,,154.2 ,,140.8 ,,8.5 ,,7.5 ,,34.4 ,,169.9 ,
AZ,"Phoenix - VPSI, Incorporated",,,,,,,,,,,,,,,,,,,,,
,,9169,E,VP,DO,276,303,,0.0 ,,"4,099.5 ",,"4,099.5 ",,101.2 ,,101.2 ,,778.8 ,Q,"22,625.4 ",
AZ,"Regional Public Transportation Authority, dba: Valley Metro (RPTA)",,,,,,,,,,,,,,,,,,,,,
,,9136,B,DR,PT,50,61,,0.0 ,,"1,924.8 ",Q,"1,622.8 ",Q,137.5 ,Q,118.0 ,Q,220.6 ,,"1,861.2 ",
,,9136,B,MB,PT,107,133,,"4,857.1 ",,"6,084.9 ",Q,"4,857.1 ",Q,509.1 ,Q,392.7 ,Q,"6,366.8 ",,"37,132.9 ",
,,,,Total,,157,194,,"4,857.1 ",,"8,009.7 ",,"6,479.9 ",,646.7 ,,510.7 ,,"6,587.4 ",,"38,994.1 ",
AZ,"Sun Cities Area Transit System, Inc. (SCAT)",,,,,,,,,,,,,,,,,,,,,
,,9135,D,DR,DO,12,14,,0.0 ,,243.5 ,,220.5 ,,21.3 ,,20.2 ,,58.1 ,,224.7 ,
AZ,Surprise Dial-A-Ride Transit System,,,,,,,,,,,,,,,,,,,,,
,,9137,A,DR,DO,4,5,,0.0 ,,80.5 ,Q,68.3 ,Q,6.8 ,Q,5.0 ,Q,8.2 ,,38.2 ,
AZ,Yuma Metropolitan Planning Organization (YMPO),,,,,,,,,,,,,,,,,,,,,
,,9192,B,DR,PT,11,13,,0.0 ,,285.0 ,,281.6 ,,44.5 ,,43.0 ,,63.0 ,,434.0 ,
,,9192,B,MB,PT,6,8,,480.7 ,,488.1 ,,480.7 ,,26.0 ,,25.7 ,,100.2 ,,721.2 ,
,,,,Total,,17,21,,480.7 ,,773.1 ,,762.3 ,,70.5 ,,68.7 ,,163.2 ,,"1,155.2 ",
CA,   Long Beach Transit (LBT),,,,,,,,,,,,,,,,,,,,,
,,9023,B,DR,PT,18,21,,0.0 ,,329.2 ,Q,329.2 ,Q,13.2 ,Q,13.2 ,Q,75.9 ,,369.8 ,
,,9023,B,MB,DO,179,228,,"7,367.3 ",,"8,135.8 ",,"7,486.0 ",,728.1 ,,695.0 ,,"26,964.7 ",,"73,343.9 ",
,,,,Total,,197,249,,"7,367.3 ",,"8,465.0 ",,"7,815.2 ",,741.3 ,,708.1 ,,"27,040.5 ",,"73,713.7 ",
CA, Sonoma County Transit,,,,,,,,,,,,,,,,,,,,,
,,9089,B,DR,PT,23,23,,0.0 ,,593.9 ,,459.7 ,,43.0 ,,34.6 ,,33.7 ,,393.8 ,
,,9089,B,MB,PT,37,51,,"1,579.0 ",,"2,052.7 ",Q,"1,571.1 ",Q,106.0 ,,88.4 ,,"1,259.4 ",,"10,087.7 ",Q
,,,,Total,,60,74,,"1,579.0 ",,"2,646.6 ",,"2,030.9 ",,149.0 ,,123.0 ,,"1,293.1 ",,"10,481.5 ",
CA," University of California, Davis (Unitrans)",,,,,,,,,,,,,,,,,,,,,
,,9142,A,MB,DO,35,43,,773.6 ,,799.7 ,,751.8 ,,74.0 ,,70.7 ,,"3,416.4 ",,"7,058.4 ",
CA,Access Services Incorporated (ASI),,,,,,,,,,,,,,,,,,,,,
,,9157,E,DR,PT,501,578,,0.0 ,,"27,847.9 ",,"23,420.8 ",,"1,403.3 ",,"1,212.2 ",,"2,354.9 ",,"28,599.8 ",
CA,Alameda-Contra Costa Transit District (AC Transit),,,,,,,,,,,,,,,,,,,,,
,,9014,B,MB,DO,516,614,,"20,841.0 ",,"24,179.5 ",,"20,862.5 ",,"1,940.8 ",,"1,786.6 ",,"64,409.0 ",,"197,697.1 ",
,,9014,B,MB,PT,9,12,,227.0 ,,320.0 ,,247.6 ,,15.3 ,,13.5 ,,191.8 ,,"2,409.2 ",
,,,,Total,,525,626,,"21,067.9 ",,"24,499.6 ",,"21,110.1 ",,"1,956.1 ",,"1,800.1 ",,"64,600.7 ",,"200,106.3 ",
CA,Altamont Commuter Express (ACE),,,,,,,,,,,,,,,,,,,,,
,,9182,B,CR,PT,18,21,,783.3 ,,806.1 ,,783.3 ,,19.2 ,,18.7 ,,640.6 ,,"33,279.3 ",
CA,Antelope Valley Transit Authority (AVTA),,,,,,,,,,,,,,,,,,,,,
,,9121,B,DR,PT,19,19,,0.0 ,,674.1 ,,622.5 ,,34.3 ,,30.6 ,,58.5 ,,743.5 ,
,,9121,B,MB,PT,49,72,,"2,479.1 ",,"2,778.5 ",,"2,447.1 ",,153.1 ,,135.3 ,,"2,669.4 ",,"34,532.4 ",
,,,,Total,,68,91,,"2,479.1 ",,"3,452.7 ",,"3,069.6 ",,187.4 ,,165.8 ,,"2,727.8 ",,"35,276.0 ",
CA,ATC / Vancom,,,,,,,,,,,,,,,,,,,,,
,,9170,F,DR,PT,178,201,,0.0 ,,"6,977.7 ",,"5,823.4 ",,438.9 ,,389.8 ,,688.4 ,,"5,743.3 ",
CA,Central Contra Costa Transit Authority (County Connection),,,,,,,,,,,,,,,,,,,,,
,,9078,B,DR,PT,52,62,,0.0 ,,"1,552.0 ",,"1,282.4 ",,97.6 ,,79.3 ,,154.4 ,,"1,543.2 ",
,,9078,B,MB,DO,106,131,,"3,325.5 ",,"4,144.1 ",,"3,318.5 ",,299.5 ,,259.5 ,,"4,242.2 ",,"19,305.5 ",
,,,,Total,,158,193,,"3,325.5 ",,"5,696.1 ",,"4,601.0 ",,397.1 ,,338.9 ,,"4,396.6 ",,"20,848.7 ",
CA,Chico Area Transit System City of Chico (CATS),,,,,,,,,,,,,,,,,,,,,
,,9127,B,DR,PT,8,9,,0.0 ,,276.6 ,,247.8 ,,22.1 ,,20.0 ,,59.9 ,,198.4 ,
,,9127,B,MB,PT,16,20,,586.8 ,,624.6 ,,586.8 ,,50.9 ,,46.8 ,,834.0 ,,"2,660.4 ",
,,,,Total,,24,29,,586.8 ,,901.3 ,,834.6 ,,73.0 ,,66.8 ,,893.9 ,,"2,858.8 ",
CA,Chula Vista Transit (CVT),,,,,,,,,,,,,,,,,,,,,
,,9193,B,MB,PT,29,35,,"1,398.8 ",,"1,511.4 ",,"1,397.8 ",,115.3 ,,108.9 ,,"3,068.5 ",,"10,929.1 ",
CA,City of Alameda Ferry Services,,,,,,,,,,,,,,,,,,,,,
,,9150,B,FB,PT,3,5,,75.6 ,,79.3 ,,75.6 ,,6.7 ,,6.2 ,,464.7 ,,"3,054.1 ",
CA,City of Arcadia Transit (Arcadia Transit),,,,,,,,,,,,,,,,,,,,,
,,9044,B,DR,PT,16,18,,0.0 ,,373.4 ,,329.3 ,,33.2 ,,30.7 ,,167.0 ,,572.2 ,
CA,City of Commerce Municipal Buslines (CBL),,,,,,,,,,,,,,,,,,,,,
,,9043,A,DR,DO,5,5,,0.0 ,,71.0 ,,65.7 ,,4.8 ,,4.2 ,,8.4 ,,43.7 ,
,,9043,A,MB,DO,6,9,,245.7 ,,246.3 ,,245.7 ,,19.5 ,,19.4 ,,674.7 ,,"2,708.6 ",
,,,,Total,,11,14,,245.7 ,,317.3 ,,311.4 ,,24.3 ,,23.6 ,,683.0 ,,"2,752.3 ",
CA,City of Corona (Corona Dial-A-Ride),,,,,,,,,,,,,,,,,,,,,
,,9052,B,DR,PT,7,9,,0.0 ,,230.5 ,,215.9 ,,14.9 ,,14.1 ,,66.5 ,,355.6 ,
,,9052,B,MB,PT,4,5,,208.2 ,,218.6 ,,208.2 ,,18.9 ,,17.7 ,,162.4 ,,569.0 ,
,,,,Total,,11,14,,208.2 ,,449.1 ,,424.0 ,,33.8 ,,31.8 ,,228.9 ,,924.6 ,
CA,City of Fairfield - Fairfield-Suisun Transit (FST),,,,,,,,,,,,,,,,,,,,,
,,9092,B,DR,PT,8,14,,0.0 ,,272.4 ,,247.6 ,,18.8 ,,16.9 ,,29.0 ,,157.4 ,
,,9092,B,MB,PT,22,43,,"1,000.9 ",,"1,050.7 ",,"1,000.9 ",,62.6 ,,59.1 ,,762.7 ,,"3,432.2 ",
,,,,Total,,30,57,,"1,000.9 ",,"1,323.0 ",,"1,248.5 ",,81.4 ,,76.0 ,,791.7 ,,"3,589.6 ",
CA,City of Gardena Transportation Department (GMBL),,,,,,,,,,,,,,,,,,,,,
,,9042,B,DR,PT,8,10,,0.0 ,,105.1 ,,97.8 ,Q,15.4 ,Q,12.7 ,Q,32.6 ,,113.8 ,
,,9042,B,MB,DO,40,48,,"1,600.6 ",,"1,620.1 ",,"1,600.6 ",Q,117.5 ,Q,112.6 ,Q,"4,656.2 ",,"16,636.9 ",
,,,,Total,,48,58,,"1,600.6 ",,"1,725.1 ",,"1,698.4 ",,132.9 ,,125.4 ,,"4,688.8 ",,"16,750.7 ",
CA,City of La Mirada Transit (LMT),,,,,,,,,,,,,,,,,,,,,
,,9024,B,DR,PT,8,12,,0.0 ,,151.9 ,,139.2 ,,12.3 ,,11.3 ,,58.2 ,,171.4 ,
CA,City of Lodi - Transit Division (Grapeline),,,,,,,,,,,,,,,,,,,,,
,,9175,B,DR,PT,16,16,,0.0 ,,264.2 ,,261.2 ,,29.6 ,,29.2 ,,72.5 ,,195.0 ,
,,9175,B,MB,PT,9,9,,327.3 ,,323.2 ,,320.9 ,,24.2 ,,23.9 ,,368.7 ,,936.4 ,
,,,,Total,,25,25,,327.3 ,,587.4 ,,582.1 ,,53.8 ,,53.1 ,,441.2 ,,"1,131.3 ",
CA,City of Lompoc - Lompoc Transit (COLT),,,,,,,,,,,,,,,,,,,,,
,,9149,B,DR,PT,2,3,,0.0 ,,79.7 ,,76.7 ,,8.0 ,,7.8 ,,24.0 ,,71.9 ,
,,9149,B,MB,PT,9,13,,382.5 ,,403.1 ,,382.5 ,,23.6 ,,22.8 ,,307.7 ,,"3,381.0 ",
,,,,Total,,11,16,,382.5 ,,482.8 ,,459.2 ,,31.5 ,,30.6 ,,331.7 ,,"3,452.9 ",
CA,City of Los Angeles Department of Transportation (LADOT),,,,,,,,,,,,,,,,,,,,,
,,9147,B,DR,PT,164,194,,0.0 ,,"4,755.2 ",,"4,355.5 ",Q,333.6 ,,295.6 ,Q,"1,129.3 ",,"5,078.4 ",
,,9147,B,MB,PT,224,283,,"7,671.6 ",,"9,801.1 ",,"7,670.7 ",,767.5 ,,675.1 ,,"29,983.4 ",,"71,335.4 ",
,,,,Total,,388,477,,"7,671.6 ",,"14,556.3 ",,"12,026.2 ",,"1,101.1 ",,970.7 ,,"31,112.6 ",,"76,413.8 ",
CA,City of Porterville (C.O.L.T.),,,,,,,,,,,,,,,,,,,,,
,,9198,B,DR,PT,5,11,,0.0 ,,256.2 ,,247.9 ,,17.3 ,,16.6 ,,60.6 ,,181.7 ,
,,9198,B,MB,PT,6,12,,291.7 ,,301.0 ,Q,291.7 ,Q,21.4 ,Q,19.5 ,Q,423.9 ,,"1,558.7 ",
,,,,Total,,11,23,,291.7 ,,557.3 ,,539.6 ,,38.7 ,,36.1 ,,484.6 ,,"1,740.3 ",
CA,City of Riverside Special Transportation (City of Riverside),,,,,,,,,,,,,,,,,,,,,
,,9086,A,DR,DO,21,25,,0.0 ,,654.7 ,,599.0 ,,38.4 ,,36.5 ,,152.8 ,,602.0 ,
CA,City of San Luis Obispo (SLO Transit),,,,,,,,,,,,,,,,,,,,,
,,9156,B,MB,PT,11,15,,396.0 ,,419.5 ,,396.0 ,,35.0 ,,33.1 ,,875.4 ,,"8,730.6 ",
CA,City of Santa Rosa (Santa Rosa CityBus),,,,,,,,,,,,,,,,,,,,,
,,9017,B,DR,PT,11,11,,0.0 ,,270.6 ,,236.7 ,,21.2 ,,18.1 ,,49.6 ,,248.2 ,
,,9017,B,MB,DO,24,29,,"1,019.6 ",,"1,071.7 ",Q,"1,019.9 ",,85.7 ,Q,82.3 ,,"2,606.0 ",,"8,677.9 ",Q
,,,,Total,,35,40,,"1,019.6 ",,"1,342.3 ",,"1,256.7 ",,107.0 ,,100.3 ,,"2,655.6 ",,"8,926.1 ",
CA,City of Union City Transit Division (UCT),,,,,,,,,,,,,,,,,,,,,
,,9161,B,DR,PT,4,5,,0.0 ,,102.6 ,,88.6 ,,10.6 ,,9.5 ,,19.6 ,,53.0 ,
,,9161,B,MB,PT,11,15,,522.5 ,,545.6 ,,524.0 ,,39.4 ,,37.9 ,,380.5 ,,"1,186.6 ",
,,,,Total,,15,20,,522.5 ,,648.1 ,,612.6 ,,50.0 ,,47.3 ,,400.1 ,,"1,239.6 ",
CA,"City of Vallejo Transportation Program (Vallejo Transit, Baylink)",,,,,,,,,,,,,,,,,,,,,
,,9028,B,DR,PT,10,12,,0.0 ,,253.8 ,,227.5 ,,19.2 ,,17.4 ,,35.4 ,,329.1 ,
,,9028,B,FB,PT,3,4,,253.1 ,,259.2 ,,249.4 ,,9.6 ,,9.0 ,,669.9 ,,"17,348.7 ",
,,9028,B,MB,PT,54,70,,"2,425.0 ",,"2,683.4 ",,"2,423.0 ",,138.4 ,,125.6 ,,"2,222.2 ",,"14,277.3 ",
,,,,Total,,67,86,,"2,678.1 ",,"3,196.3 ",,"2,899.8 ",,167.1 ,,152.0 ,,"2,927.5 ",,"31,955.1 ",
CA,City of Visalia - Visalia City Coach (VCC),,,,,,,,,,,,,,,,,,,,,
,,9091,B,DR,PT,6,9,,0.0 ,,162.0 ,,147.2 ,,11.4 ,,10.3 ,,36.7 ,,235.9 ,
,,9091,B,MB,PT,22,30,,"1,012.3 ",,"1,045.5 ",,"1,012.3 ",,78.0 ,,76.4 ,,"1,280.2 ",,"5,447.8 ",
,,,,Total,,28,39,,"1,012.3 ",,"1,207.5 ",,"1,159.5 ",,89.5 ,,86.7 ,,"1,316.9 ",,"5,683.7 ",
CA,Culver City Municipal Bus Lines (CityBus),,,,,,,,,,,,,,,,,,,,,
,,9039,A,MB,DO,32,46,,"1,424.5 ",,"1,508.8 ",,"1,423.3 ",,138.7 ,,134.3 ,,"5,402.3 ",,"15,372.0 ",
CA,Eastern Contra Costa Transit Authority (Tri Delta Transit),,,,,,,,,,,,,,,,,,,,,
,,9162,B,DR,PT,16,23,,0.0 ,,556.8 ,,477.1 ,,46.9 ,,41.6 ,,104.1 ,,670.3 ,
,,9162,B,MB,PT,47,60,,"2,258.6 ",,"2,534.6 ",,"2,251.5 ",,178.0 ,,159.1 ,,"2,319.6 ",,"15,657.4 ",
,,,,Total,,63,83,,"2,258.6 ",,"3,091.4 ",,"2,728.6 ",,224.9 ,,200.7 ,,"2,423.7 ",,"16,327.7 ",
CA,Foothill Transit,,,,,,,,,,,,,,,,,,,,,
,,9146,B,MB,PT,257,306,,"12,300.0 ",,"15,764.2 ",,"11,681.3 ",,877.3 ,,743.3 ,,"14,747.5 ",,"105,223.7 ",
CA,Fresno Area Express (FAX),,,,,,,,,,,,,,,,,,,,,
,,9027,B,DR,PT,27,39,,0.0 ,,"1,197.2 ",,"1,084.8 ",,94.7 ,,81.5 ,,192.6 ,,"1,404.8 ",
,,9027,B,MB,DO,84,118,,"4,114.9 ",,"4,339.2 ",,"4,101.3 ",,347.4 ,,335.0 ,,"11,241.8 ",Q,"31,018.7 ",Q
,,,,Total,,111,157,,"4,114.9 ",,"5,536.3 ",,"5,186.1 ",,442.1 ,,416.5 ,,"11,434.4 ",,"32,423.5 ",
CA,Golden Empire Transit District (GET),,,,,,,,,,,,,,,,,,,,,
,,9004,A,DR,DO,12,14,,0.0 ,,482.5 ,,441.4 ,,26.3 ,,24.5 ,,60.9 ,,511.3 ,
,,9004,A,MB,DO,65,79,,"3,450.6 ",,"3,658.0 ",,"3,439.4 ",,275.3 ,,267.1 ,,"6,825.7 ",,"28,947.8 ",
,,,,Total,,77,93,,"3,450.6 ",,"4,140.5 ",,"3,880.9 ",,301.5 ,,291.6 ,,"6,886.6 ",,"29,459.2 ",
CA,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",,,,,,,,,,,,,,,,,,,,,
,,9016,B,DR,PT,30,46,,0.0 ,,"1,079.5 ",,931.4 ,,60.4 ,,51.1 ,,95.3 ,,"1,007.3 ",
,,9016,B,FB,DO,4,5,,184.6 ,,193.5 ,,184.0 ,,14.1 ,,13.5 ,,"1,750.7 ",,"19,681.7 ",
,,9016,B,MB,DO,179,214,,"5,120.9 ",,"5,933.0 ",,"5,116.3 ",,371.9 ,,334.8 ,,"7,545.0 ",,"66,570.8 ",
,,9016,B,MB,PT,7,8,,129.6 ,,271.9 ,,129.5 ,,9.2 ,,6.1 ,,74.9 ,,"1,998.3 ",
,,,,Total,,220,273,,"5,435.0 ",,"7,477.9 ",,"6,361.2 ",,455.6 ,,405.6 ,,"9,465.8 ",,"89,258.1 ",
CA,LACMTA - Small Operators (LACMTA),,,,,,,,,,,,,,,,,,,,,
,,9166,B,DR,PT,211,248,,0.0 ,,"4,425.7 ",,"3,785.2 ",,363.4 ,,308.9 ,,"1,213.9 ",,"4,733.7 ",
,,9166,B,MB,PT,171,217,,"5,189.8 ",,"5,551.0 ",,"5,147.5 ",,504.5 ,,459.4 ,,"10,047.1 ",,"23,172.6 ",
