Agency,City,State,Legacy NTD ID,NTD ID,Organization Type,Reporter Type,"Primary UZA
 Population",Agency VOMS,Mode,TOS,Mode VOMS,Ratios:,Fare Revenues per Unlinked Passenger Trip ,Fare Revenues per Unlinked Passenger Trip Questionable,Fare Revenues per Total Operating Expense (Recovery Ratio),Fare Revenues per Total Operating Expense (Recovery Ratio) Questionable,"Cost per
 Hour",Cost per Hour Questionable,Passengers per Hour,Passengers per Hour Questionable,Cost per Passenger,Cost per Passenger Questionable,Cost per Passenger Mile,Cost per Passenger Mile Questionable,Source Data:,Fare Revenues Earned,Fare Revenues Earned Questionable,Total Operating Expenses,Total Operating Expenses Questionable,Unlinked Passenger Trips,Unlinked Passenger Trips Questionable,Vehicle Revenue Hours,Vehicle Revenue Hours Questionable,Passenger Miles,Passenger Miles Questionable,Vehicle Revenue Miles,Vehicle Revenue Miles Questionable,Any data questionable?,,,,0,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,645",VP,PT,171,,$2.58 ,,0.18 ,,$101.69 ,,7.0 ,,$14.59 ,,$0.42 ,,,"$1,640,036 ",,"$9,265,043 ",,"635,166 ",,"91,113 ",,"22,289,755 ",,"3,947,265 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,645",YR,PT,16,,$0.85 ,,0.07 ,,$704.90 ,,55.9 ,,$12.61 ,,$0.85 ,,,"$2,327,483 ",,"$34,607,780 ",,"2,744,872 ",,"49,096 ",,"40,925,492 ",,"1,232,724 ",,No,,,,,,
New Jersey Transit Corporation,Newark,NJ,2080,20080,Other Publicly-Owned or Privately Chartered Corporation,Full Reporter,"18,351,295 ","3,645",LR,DO,14,,$1.00 ,,0.23 ,,$467.00 ,,105.6 ,,$4.42 ,,$1.92 ,,,"$5,396,351 ",,"$23,954,159 ",,"5,417,438 ",,"51,294 ",,"12,445,497 ",,"507,528 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,469",HR,DO,68,,$0.73 ,,0.19 ,,$536.99 ,,137.3 ,,$3.91 ,,$0.81 ,,,"$31,426,577 ",,"$168,453,369 ",,"43,074,277 ",,"313,697 ",,"207,664,947 ",,"6,874,200 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,469",RB,DO,26,,$0.73 ,,0.19 ,,$231.80 ,,62.0 ,,$3.74 ,,$0.57 ,,,"$4,997,045 ",,"$25,666,876 ",,"6,860,145 ",,"110,727 ",,"45,206,002 ",,"1,719,522 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,469",LR,DO,198,,$0.72 ,,0.10 ,,$515.13 ,,68.8 ,,$7.48 ,,$0.96 ,,,"$42,986,478 ",,"$446,368,668 ",,"59,655,365 ",,"866,517 ",,"462,756,222 ",,"17,757,242 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,469",MB,DO,"1,784",,$0.72 ,,0.15 ,,$190.75 ,,40.1 ,,$4.75 ,,$1.16 ,,,"$182,029,213 ",,"$1,209,706,503 ",,"254,580,163 ",,"6,341,989 ",,"1,044,644,827 ",,"65,595,822 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,469",MB,PT,134,,$0.31 ,,0.07 ,,$107.12 ,,24.8 ,,$4.31 ,,$0.90 ,,,"$3,849,877 ",,"$53,066,904 ",,"12,307,451 ",,"495,401 ",,"59,202,628 ",,"5,775,759 ",,No,,,,,,
"Los Angeles County Metropolitan Transportation Authority , dba: Metro",Los Angeles,CA,9154,90154,Independent Public Agency or Authority of Transit Service,Full Reporter,"12,150,996 ","3,469",VP,PT,"1,259",,$4.81 ,,1.01 ,,$21.49 ,,4.5 ,,$4.74 ,,$0.11 ,,,"$15,580,993 ",,"$15,376,446 ",,"3,240,720 ",,"715,408 ",,"142,563,803 ",,"28,602,524 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,391",MB,PT,93,,$3.08 ,,0.37 ,,$174.69 ,,20.8 ,,$8.39 ,,$1.12 ,,,"$3,720,334 ",,"$10,081,260 ",,"1,206,050 ",,"57,911 ",,"9,025,834 ",,"901,961 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,391",HR,DO,920,,$2.33 ,,0.48 ,,$303.38 ,,62.4 ,,$4.86 ,,$0.85 ,,,"$533,518,013 ",,"$1,112,675,403 ",,"228,974,810 ",,"3,667,616 ",,"1,313,511,151 ",,"85,106,645 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,391",DR,PT,754,,$3.64 ,,0.05 ,,$73.58 ,,1.0 ,,$70.58 ,,$7.14 ,,,"$8,058,636 ",,"$156,173,845 ",,"2,212,686 ",,"2,122,506 ",,"21,875,322 ",,"19,685,883 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,391",DT,PT,338,,$5.33 ,,0.04 ,,$202.45 ,,1.5 ,,$137.08 ,,$7.43 ,,,"$722,503 ",,"$18,592,915 ",,"135,638 ",,"91,841 ",,"2,502,448 ",,"2,283,499 ",,No,,,,,,
Washington Metropolitan Area Transit Authority,Washington,DC,3030,30030,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,586,770 ","3,391",MB,DO,"1,286",,$0.99 ,,0.17 ,,$193.68 ,,32.8 ,,$5.91 ,,$2.01 ,,,"$120,290,807 ",,"$721,829,401 ",,"122,127,065 ",,"3,726,938 ",,"358,532,948 ",,"36,511,319 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,233",MB,DO,986,,$1.37 ,,0.23 ,,$192.17 ,,32.5 ,,$5.90 ,,$1.29 ,,,"$141,830,486 ",,"$611,275,588 ",,"103,527,532 ",,"3,180,859 ",,"473,228,334 ",,"35,407,340 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,233",DT,PT,89,,$1.07 ,,0.06 ,,$47.46 ,,2.6 ,,$17.94 ,,$1.33 ,,,"$190,037 ",,"$3,189,701 ",,"177,791 ",,"67,214 ",,"2,398,907 ",,"2,052,404 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,233",DR,PT,327,,$1.07 ,,0.01 ,,$107.01 ,,1.3 ,,$84.63 ,,$8.45 ,,,"$949,074 ",,"$75,141,400 ",,"887,915 ",,"702,176 ",,"8,887,848 ",,"8,511,613 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,233",FB,DO,3,,$4.82 ,,0.47 ,,"$1,196.55 ",,116.6 ,,$10.26 ,,$2.08 ,,,"$3,381,600 ",,"$7,199,636 ",,"701,608 ",,"6,017 ",,"3,464,136 ",,"52,362 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,233",MB,PT,29,,$1.26 ,,0.11 ,,$119.34 ,,10.2 ,,$11.69 ,,$3.03 ,,,"$1,050,808 ",,"$9,755,214 ",,"834,720 ",,"81,746 ",,"3,219,577 ",,"1,058,834 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,233",VP,DO,"1,649",,$2.26 ,,0.74 ,,$19.09 ,,6.2 ,,$3.06 ,,$0.16 ,,,"$7,447,385 ",,"$10,099,727 ",,"3,300,186 ",,"528,947 ",,"61,644,511 ",,"14,648,137 ",,No,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,233",TB,DO,140,,$1.35 ,W,0.34 ,,$164.69 ,,41.2 ,W,$3.99 ,W,$2.15 ,W,,"$23,528,006 ",,"$69,385,308 ",,"17,373,451 ",W,"421,313 ",,"32,207,119 ",W,"2,607,942 ",,Yes,,,,,,
"King County Department of Metro Transit, dba: King County Metro",Seattle,WA,0001,00001,"City, County or Local Government Unit or Department of Transportation",Full Reporter,"3,059,393 ","3,233",SR,DO,10,,$0.88 ,W,0.14 ,,$269.46 ,,43.6 ,W,$6.18 ,W,$5.68 ,W,,"$1,633,354 ",,"$11,522,476 ",,"1,863,409 ",W,"42,762 ",,"2,027,877 ",W,"205,470 ",,Yes,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,730",MB,DO,"1,566",,$1.18 ,,0.34 ,,$141.77 ,,40.8 ,,$3.47 ,,$1.42 ,,,"$279,224,950 ",,"$824,288,048 ",,"237,276,400 ",,"5,814,122 ",,"581,741,988 ",,"52,816,557 ",,No,,,,,,
Chicago Transit Authority,Chicago,IL,5066,50066,Independent Public Agency or Authority of Transit Service,Full Reporter,"8,608,208 ","2,730",HR,DO,"1,164",,$1.42 ,,0.50 ,,$153.36 ,,53.7 ,,$2.85 ,,$0.45 ,,,"$309,516,440 ",,"$623,416,178 ",,"218,467,141 ",,"4,065,132 ",,"1,378,128,437 ",,"73,574,040 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,464",FB,PT,9,,$7.35 ,,0.77 ,,$609.01 ,,63.7 ,,$9.56 ,,$1.09 ,,,"$11,649,892 ",,"$15,139,977 ",,"1,584,440 ",,"24,860 ",,"13,942,294 ",,"262,174 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,464",MB,DO,779,,$0.97 ,,0.23 ,,$156.04 ,,36.5 ,,$4.28 ,,$1.66 ,,,"$96,518,545 ",,"$424,586,999 ",,"99,301,293 ",,"2,721,051 ",,"255,494,460 ",,"21,357,273 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,464",MB,PT,70,,$0.09 ,W,0.02 ,,$63.06 ,,10.8 ,W,$5.85 ,W,$2.57 ,W,,"$85,258 ",,"$5,562,842 ",,"951,692 ",W,"88,210 ",,"2,162,081 ",W,"1,028,451 ",,Yes,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,464",DR,PT,617,,$3.25 ,,0.05 ,,$90.76 ,,1.3 ,,$69.11 ,,$8.82 ,,,"$6,045,296 ",,"$128,696,163 ",,"1,862,279 ",,"1,417,991 ",,"14,589,884 ",,"15,610,789 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,464",CR,PT,436,,$7.65 ,,0.62 ,,$463.30 ,,37.6 ,,$12.33 ,,$0.59 ,,,"$238,575,681 ",,"$384,352,038 ",,"31,177,738 ",,"829,590 ",,"653,570,994 ",,"24,935,847 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,464",RB,DO,42,,$0.92 ,,0.39 ,,$139.51 ,,58.9 ,,$2.37 ,,$1.17 ,,,"$10,627,552 ",,"$27,230,718 ",,"11,490,833 ",,"195,184 ",,"23,235,147 ",,"1,474,538 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,464",HR,DO,338,,$1.40 ,,0.74 ,,$199.57 ,,105.2 ,,$1.90 ,,$0.53 ,,,"$224,415,154 ",,"$304,267,766 ",,"160,351,814 ",,"1,524,626 ",,"572,046,325 ",,"23,062,016 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,464",TB,DO,22,,$0.63 ,,0.08 ,,$369.54 ,,47.4 ,,$7.80 ,,$3.30 ,,,"$1,899,150 ",,"$23,555,601 ",,"3,021,243 ",,"63,743 ",,"7,133,649 ",,"540,018 ",,No,,,,,,
Massachusetts Bay Transportation Authority,Boston,MA,1003,10003,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,181,019 ","2,464",LR,DO,151,,$1.43 ,,0.42 ,,$292.10 ,,86.5 ,,$3.38 ,,$1.40 ,,,"$81,704,871 ",,"$192,376,108 ",,"56,975,564 ",,"658,603 ",,"137,719,112 ",,"5,698,854 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,390",MB,PT,6,,$1.13 ,,0.08 ,,$112.68 ,,7.9 ,,$14.22 ,,$2.50 ,,,"$87,819 ",,"$1,102,992 ",,"77,573 ",,"9,789 ",,"440,720 ",,"165,569 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,390",DR,PT,415,,$3.88 ,,0.09 ,,$66.07 ,,1.5 ,,$44.75 ,,$6.44 ,,,"$5,872,858 ",,"$67,710,271 ",,"1,513,129 ",,"1,024,827 ",,"10,507,130 ",,"10,157,850 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,390",CR,DO,348,,$4.07 ,,0.45 ,,$314.58 ,,35.0 ,,$8.98 ,,$0.67 ,,,"$141,365,210 ",,"$311,891,969 ",,"34,730,053 ",,"991,458 ",,"465,744,543 ",,"20,325,604 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,390",TB,DO,29,,$1.16 ,,0.37 ,,$198.32 ,,64.3 ,,$3.08 ,,$1.51 ,,,"$5,194,781 ",,"$13,867,679 ",,"4,495,882 ",,"69,927 ",,"9,169,225 ",,"643,614 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,390",HR,DO,287,,$1.25 ,,0.56 ,,$214.80 ,,97.2 ,,$2.21 ,,$0.50 ,,,"$113,235,243 ",,"$200,486,444 ",,"90,754,189 ",,"933,376 ",,"399,537,395 ",,"17,078,643 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,390",SR,DO,120,,$1.25 ,,0.37 ,,$208.12 ,,61.8 ,,$3.37 ,,$1.32 ,,,"$28,532,127 ",,"$76,849,998 ",,"22,816,878 ",,"369,266 ",,"58,270,354 ",,"3,201,148 ",,No,,,,,,
Southeastern Pennsylvania Transportation Authority,Philadelphia,PA,3019,30019,Independent Public Agency or Authority of Transit Service,Full Reporter,"5,441,567 ","2,390",MB,DO,"1,185",,$1.09 ,,0.26 ,,$157.29 ,,37.3 ,,$4.22 ,,$1.35 ,,,"$168,008,643 ",,"$648,600,448 ",,"153,878,781 ",,"4,123,602 ",,"479,341,915 ",,"41,141,919 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,131",MB,PT,99,,$0.50 ,,0.09 ,,$106.55 ,,18.2 ,,$5.85 ,,$1.36 ,,,"$4,600,559 ",,"$53,373,690 ",,"9,130,881 ",,"500,930 ",,"39,149,156 ",,"6,012,988 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,131",CB,PT,64,,$2.94 ,,0.47 ,,$145.12 ,,23.1 ,,$6.28 ,,$0.32 ,,,"$5,514,287 ",,"$11,785,438 ",,"1,877,893 ",,"81,209 ",,"36,498,920 ",,"2,266,053 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,131",MB,DO,613,,$0.51 ,,0.08 ,,$125.11 ,,20.6 ,,$6.07 ,,$1.15 ,,,"$25,780,652 ",,"$305,824,660 ",,"50,413,144 ",,"2,444,491 ",,"266,982,461 ",,"29,719,729 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,131",VP,DO,553,,$3.55 ,,1.08 ,,$27.21 ,,8.3 ,,$3.29 ,,$0.11 ,,,"$6,364,414 ",,"$5,891,475 ",,"1,791,670 ",,"216,522 ",,"55,659,344 ",,"7,941,973 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,131",LR,DO,54,,$0.26 ,,0.06 ,,$285.37 ,,63.7 ,,$4.48 ,,$1.59 ,,,"$4,774,238 ",,"$83,097,579 ",,"18,556,589 ",,"291,188 ",,"52,243,069 ",,"3,482,906 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,131",DR,PT,340,,$1.03 ,,0.03 ,,$49.30 ,,1.6 ,,$30.76 ,,$2.76 ,,,"$1,842,477 ",,"$54,944,297 ",,"1,786,410 ",,"1,114,519 ",,"19,904,973 ",,"18,197,637 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,131",CB,DO,248,,$2.73 ,,0.30 ,,$200.64 ,,22.0 ,,$9.12 ,,$0.51 ,,,"$16,597,557 ",,"$55,472,370 ",,"6,082,446 ",,"276,472 ",,"108,607,395 ",,"6,865,294 ",,No,,,,,,
"Metropolitan Transit Authority of Harris County, Texas ",Houston,TX,6008,60008,Independent Public Agency or Authority of Transit Service,Full Reporter,"4,944,332 ","2,131",DT,PT,160,,$1.02 ,,0.08 ,,$52.19 ,,4.2 ,,$12.52 ,,$1.54 ,,,"$318,088 ",,"$3,908,615 ",,"312,184 ",,"74,887 ",,"2,530,583 ",,"2,179,219 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,647",MB,DO,615,,$0.70 ,W,0.13 ,,$178.36 ,,33.6 ,W,$5.31 ,W,$1.36 ,,,"$44,870,600 ",,"$339,883,861 ",,"63,988,571 ",W,"1,905,605 ",,"250,693,380 ",,"21,201,721 ",,Yes,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,647",HR,DO,54,,$1.44 ,,0.13 ,,$455.22 ,,42.5 ,,$10.71 ,,$2.40 ,,,"$10,449,300 ",,"$77,925,584 ",,"7,275,335 ",,"171,181 ",,"32,470,539 ",,"4,380,269 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,647",DR,PT,461,,$1.12 ,,0.02 ,,$78.60 ,,1.5 ,,$52.27 ,,$5.11 ,,,"$2,397,001 ",,"$111,623,095 ",,"2,135,482 ",,"1,420,210 ",,"21,841,558 ",,"19,285,400 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,647",LR,DO,38,,$0.88 ,,0.13 ,,$309.31 ,,45.0 ,,$6.88 ,,$1.20 ,,,"$6,146,500 ",,"$47,917,891 ",,"6,966,072 ",,"154,918 ",,"39,816,955 ",,"3,019,591 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,647",DT,PT,38,,$2.43 ,,0.08 ,,$133.95 ,,4.2 ,,$31.54 ,,$6.02 ,,,"$2,042,712 ",,"$26,489,120 ",,"839,857 ",,"197,759 ",,"4,399,151 ",,"3,307,632 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,647",CB,PT,280,,$5.21 ,,0.29 ,,$263.79 ,,14.7 ,,$17.94 ,,$0.62 ,,,"$18,889,000 ",,"$64,999,296 ",,"3,623,587 ",,"246,406 ",,"104,182,716 ",,"6,636,014 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,647",CR,PT,149,,$5.44 ,,0.30 ,,$947.23 ,,52.6 ,,$18.00 ,,$0.61 ,,,"$50,023,000 ",,"$165,458,115 ",,"9,190,885 ",,"174,676 ",,"271,391,388 ",,"6,652,197 ",,No,,,,,,
Maryland Transit Administration,Baltimore,MD,3034,30034,State Government Unit or Department of Transportation,Full Reporter,"2,203,663 ","1,647",DR,DO,12,,$1.03 ,,0.01 ,,$153.62 ,,1.4 ,,$111.28 ,,$14.08 ,,,"$17,675 ",,"$1,909,591 ",,"17,160 ",,"12,431 ",,"135,581 ",,"81,276 ",,No,,,,,,
