State,Name,ID,Org Type,SSW,Urbanized Area,UZA Population,Mode,TOS,VOMS,Vehicles Available for Maximum Service,,Annual Scheduled Vehicle Revenue Miles,,Annual Vehicle Miles,,Annual Vehicle Revenue Miles,,Annual Vehicle Hours,,Annual Vehicle Revenue Hours,,Unlinked Passenger Trips,,Passenger Miles,,,
AL,Birmingham-Jefferson County Transit Authority(MAX),4042,Authority,N,"Birmingham, AL","749,495",Total,, 94 , 108 ,," 2,726.8 ",," 4,259.6 ",," 3,839.7 ",, 307.7 ,, 292.6 ,," 3,257.6 ",," 17,849.7 ",,,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,"Huntsville, AL","286,692",DR,DO, 16 , 23 ,, -   ,, 552.0 ,, 511.6 ,, 35.7 ,, 33.6 ,, 89.8 ,, 749.8 ,,,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,"Huntsville, AL","286,692",MB,DO, 13 , 18 ,, 576.9 ,, 580.9 ,, 568.4 ,, 39.7 ,, 39.0 ,, 449.5 ,," 2,322.4 ",,,
AL,"City of Huntsville, Alabama - Public Transportation Division",4071,City,N,"Huntsville, AL","286,692",Total,, 29 , 41 ,, 576.9 ,," 1,133.0 ",," 1,080.0 ",, 75.4 ,, 72.6 ,, 539.3 ,," 3,072.2 ",,,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,N,"Montgomery, AL","263,907",DR,DO, 8 , 11 ,, -   ,, 332.9 ,, 295.8 ,, 26.0 ,, 22.6 ,, 35.1 ,, 303.5 ,,,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,N,"Montgomery, AL","263,907",MB,DO, 21 , 37 ,," 1,076.1 ",," 1,086.8 ",," 1,076.1 ",, 66.2 ,, 65.7 ,, 922.9 ,," 4,176.5 ",,,
AL,City of Montgomery-Montgomery Area Transit System(MATS),4044,City,N,"Montgomery, AL","263,907",Total,, 29 , 48 ,," 1,076.1 ",," 1,419.7 ",," 1,371.9 ",, 92.2 ,, 88.3 ,, 958.0 ,," 4,480.1 ",,,
AL,East Alabama Regional Planning and Development Commission(EARPDC),4064,MPO,Y,"Anniston-Oxford, AL","79,796",MB,PT, 4 ,,, -   ,, -   ,, 204.7 ,, -   ,, 12.5 ,, 173.0 ,, -   ,,,
AL,East Alabama Regional Planning and Development Commission(EARPDC),4064,MPO,Y,"Anniston-Oxford, AL","79,796",DR,PT, 26 ,,, -   ,, -   ,, 618.5 ,, -   ,, 37.7 ,, 125.5 ,, -   ,,,
AL,East Alabama Regional Planning and Development Commission(EARPDC),4064,MPO,Y,"Anniston-Oxford, AL","79,796",Total,, 30 ,,, -   ,, -   ,, 823.2 ,, -   ,, 50.2 ,, 298.4 ,, -   ,,,
AL,Gadsden Transportation Services - City of Gadsden(GTS),4049,City,Y,"Gadsden, AL","64,172",MB,DO, 9 ,,, -   ,, -   ,, 181.9 ,, -   ,, 11.4 ,, 80.5 ,, -   ,,,
AL,Gadsden Transportation Services - City of Gadsden(GTS),4049,City,Y,"Gadsden, AL","64,172",DR,DO, 13 ,,, -   ,, -   ,, 199.1 ,, -   ,, 12.6 ,, 35.8 ,, -   ,,,
AL,Gadsden Transportation Services - City of Gadsden(GTS),4049,City,Y,"Gadsden, AL","64,172",Total,, 22 ,,, -   ,, -   ,, 381.1 ,, -   ,, 24.0 ,, 116.4 ,, -   ,,,
AL,Lee-Russell Council of Governments(LRCOG),4073,MPO,Y,"Auburn, AL","74,741",DR,DO, 25 ,,, -   ,, -   ,, 511.2 ,, -   ,, 31.4 ,, 94.9 ,, -   ,,,
AL,Lee-Russell Council of Governments(LRCOG),4073,MPO,Y,"Auburn, AL","74,741",Total,, 25 ,,, -   ,, -   ,, 511.2 ,, -   ,, 31.4 ,, 94.9 ,, -   ,,,
AL,Morgan County Area Transportation System(MCATS),4111,City,Y,"Decatur, AL","70,436",DR,DO, 30 ,,, -   ,, -   ,, 520.8 ,, -   ,, 45.6 ,, 153.3 ,, -   ,,,
AL,Morgan County Area Transportation System(MCATS),4111,City,Y,"Decatur, AL","70,436",Total,, 30 ,,, -   ,, -   ,, 520.8 ,, -   ,, 45.6 ,, 153.3 ,, -   ,,,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,MPO,N,"Florence, AL","77,074",DR,DO, 40 , 56 ,, -   ,, 473.1 ,, 411.5 ,, 35.6 ,, 32.4 ,, 93.5 ,, 916.1 ,,,
AL,Northwest Alabama Council of Local Governments(NACOLG),4068,MPO,N,"Florence, AL","77,074",Total,, 40 , 56 ,, -   ,, 473.1 ,, 411.5 ,, 35.6 ,, 32.4 ,, 93.5 ,, 916.1 ,,,
AL,Phenix City Express(PEX),4089,MPO,Y,"Columbus, GA-AL","253,602",MB,DO, 2 ,,, -   ,, -   ,, 46.5 ,, -   ,, 4.1 ,, 30.7 ,, -   ,,,
AL,Phenix City Express(PEX),4089,MPO,Y,"Columbus, GA-AL","253,602",DR,DO, 4 ,,, -   ,, -   ,, 37.8 ,, -   ,, 3.6 ,, 9.3 ,, -   ,,,
AL,Phenix City Express(PEX),4089,MPO,Y,"Columbus, GA-AL","253,602",Total,, 6 ,,, -   ,, -   ,, 84.3 ,, -   ,, 7.6 ,, 39.9 ,, -   ,,,
AL,Regional Planning Commission of Greater Birmingham(RPCGB),4169,MPO,N,"Birmingham, AL","749,495",VP,PT, 37 , 44 ,, -   ,, 825.7 ,, 825.7 ,, 17.5 ,, 17.5 ,, 97.2 ,," 4,735.1 ",,,
AL,Regional Planning Commission of Greater Birmingham(RPCGB),4169,MPO,N,"Birmingham, AL","749,495",Total,, 37 , 44 ,, -   ,, 825.7 ,, 825.7 ,, 17.5 ,, 17.5 ,, 97.2 ,," 4,735.1 ",,,
AL,The Wave Transit System(WTS),4043,City,N,"Mobile, AL","326,183",MB,DO, 23 , 34 ,," 1,416.3 ",," 1,366.4 ",," 1,306.6 ",, 97.9 ,, 93.3 ,," 1,280.8 ",," 7,692.9 ",,,
AL,The Wave Transit System(WTS),4043,City,N,"Mobile, AL","326,183",DR,DO, 28 , 29 ,, -   ,, 699.6 ,, 641.0 ,, 55.2 ,, 50.7 ,, 85.4 ,, 713.1 ,,,
AL,The Wave Transit System(WTS),4043,City,N,"Mobile, AL","326,183",Total,, 51 , 63 ,," 1,416.3 ",," 2,066.0 ",," 1,947.6 ",, 153.1 ,, 144.0 ,," 1,366.2 ",," 8,406.1 ",,,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,Authority,Y,"Tuscaloosa, AL","139,114",DR,DO, 5 ,,, -   ,, -   ,, 111.9 ,, -   ,, 9.3 ,, 16.6 ,, -   ,,,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,Authority,Y,"Tuscaloosa, AL","139,114",MB,DO, 7 ,,, -   ,, -   ,, 271.8 ,, -   ,, 18.8 ,, 293.4 ,, -   ,,,
AL,Tuscaloosa County Parking and Transit Authority(TMT),4045,Authority,Y,"Tuscaloosa, AL","139,114",Total,, 12 ,,, -   ,, -   ,, 383.8 ,, -   ,, 28.1 ,, 310.0 ,, -   ,,,
AL,Wiregrass Transit Authority(WTA),4103,MPO,N,"Dothan, AL","68,781",DR,DO, 15 , 19 ,, -   ,, 567.3 ,, 514.8 ,, 46.4 ,, 38.5 ,, 124.4 ,," 2,471.1 ",,,
AL,Wiregrass Transit Authority(WTA),4103,MPO,N,"Dothan, AL","68,781",DT,PT, 20 ,,, -   ,, 202.4 ,, 202.4 ,, 11.4 ,, 11.4 ,, 10.2 ,, 202.4 ,,,
AL,Wiregrass Transit Authority(WTA),4103,MPO,N,"Dothan, AL","68,781",DR,PT, 15 , 17 ,, -   ,, 669.1 ,, 669.1 ,, 32.6 ,, 32.6 ,, 39.3 ,," 1,032.6 ",,,
AL,Wiregrass Transit Authority(WTA),4103,MPO,N,"Dothan, AL","68,781",Total,, 50 , 36 ,, -   ,," 1,438.8 ",," 1,386.2 ",, 90.4 ,, 82.5 ,, 173.8 ,," 3,706.1 ",,,
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"Little Rock, AR","431,388",SR,DO, 3 , 5 ,, 51.9 ,, 52.1 ,, 51.9 ,, 11.7 ,, 11.7 ,, 92.5 ,, 144.4 ,,,
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"Little Rock, AR","431,388",MB,DO, 49 , 59 ,," 2,599.5 ",," 2,596.0 ",," 2,438.9 ",, 181.0 ,, 174.0 ,," 2,770.5 ",," 15,483.3 ",,,
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"Little Rock, AR","431,388",DR,DO, 20 , 24 ,, -   ,, 734.6 ,, 644.4 ,, 39.2 ,, 35.7 ,, 69.3 ,, 537.8 ,,,
AR,Central Arkansas Transit Authority(CATA),6033,Authority,N,"Little Rock, AR","431,388",Total,, 72 , 88 ,," 2,651.3 ",," 3,382.7 ",," 3,135.1 ",, 231.9 ,, 221.4 ,," 2,932.3 ",," 16,165.5 ",,,
AR,Fort Smith Transit(FST),6086,City,Y,"Fort Smith, AR-OK","122,947",MB,DO, 6 ,,, -   ,, -   ,, 248.4 ,, -   ,, 18.2 ,, 249.4 ,, -   ,,,
AR,Fort Smith Transit(FST),6086,City,Y,"Fort Smith, AR-OK","122,947",DR,DO, 5 ,,, -   ,, -   ,, 213.6 ,, -   ,, 13.6 ,, 34.1 ,, -   ,,,
AR,Fort Smith Transit(FST),6086,City,Y,"Fort Smith, AR-OK","122,947",Total,, 11 ,,, -   ,, -   ,, 462.0 ,, -   ,, 31.8 ,, 283.6 ,, -   ,,,
AR,Intracity Transit(Intracity Transit),6105,City,Y,"Hot Springs, AR","55,121",DR,DO, 2 ,,, -   ,, -   ,, 62.0 ,, -   ,, 5.5 ,, 9.4 ,, -   ,,,
AR,Intracity Transit(Intracity Transit),6105,City,Y,"Hot Springs, AR","55,121",MB,DO, 3 ,,, -   ,, -   ,, 147.4 ,, -   ,, 10.1 ,, 175.8 ,, -   ,,,
AR,Intracity Transit(Intracity Transit),6105,City,Y,"Hot Springs, AR","55,121",Total,, 5 ,,, -   ,, -   ,, 209.4 ,, -   ,, 15.7 ,, 185.1 ,, -   ,,,
AR,Jonesboro Economical Transportation System(JETS),6104,City,Y,"Jonesboro, AR","65,419",MB,DO, 3 ,,, -   ,, -   ,, 192.8 ,, -   ,, 10.7 ,, 58.2 ,, -   ,,,
AR,Jonesboro Economical Transportation System(JETS),6104,City,Y,"Jonesboro, AR","65,419",DR,DO, 3 ,,, -   ,, -   ,, 36.7 ,, -   ,, 3.3 ,, 6.2 ,, -   ,,,
AR,Jonesboro Economical Transportation System(JETS),6104,City,Y,"Jonesboro, AR","65,419",Total,, 6 ,,, -   ,, -   ,, 229.4 ,, -   ,, 14.0 ,, 64.4 ,, -   ,,,
AR,Ozark Regional Transit(ORT),6072,Authority,N,"Fayetteville-Springdale-Rogers, AR-MO","295,083",MB,DO, 10 , 18 ,, 486.5 ,, 517.3 ,, 471.0 ,, 30.2 ,, 28.0 ,, 268.3 ,," 1,475.7 ",,,
AR,Ozark Regional Transit(ORT),6072,Authority,N,"Fayetteville-Springdale-Rogers, AR-MO","295,083",DR,DO, 9 , 29 ,, -   ,, 212.4 ,, 166.2 ,, 15.3 ,, 13.1 ,, 20.2 ,, 101.0 ,,,
AR,Ozark Regional Transit(ORT),6072,Authority,N,"Fayetteville-Springdale-Rogers, AR-MO","295,083",Total,, 19 , 47 ,, 486.5 ,, 729.7 ,, 637.2 ,, 45.6 ,, 41.1 ,, 288.5 ,," 1,576.7 ",,,
AR,Pine Bluff Transit(PBT),6034,City,Y,"Pine Bluff, AR","53,495",MB,DO, 4 ,,, -   ,, -   ,, 254.9 ,, -   ,, 12.0 ,, 88.8 ,, -   ,,,
AR,Pine Bluff Transit(PBT),6034,City,Y,"Pine Bluff, AR","53,495",DR,DO, 2 ,,, -   ,, -   ,, 31.3 ,, -   ,, 3.0 ,, 4.1 ,, -   ,,,
AR,Pine Bluff Transit(PBT),6034,City,Y,"Pine Bluff, AR","53,495",Total,, 6 ,,, -   ,, -   ,, 286.2 ,, -   ,, 15.0 ,, 92.9 ,, -   ,,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,University,Y,"Fayetteville-Springdale-Rogers, AR-MO","295,083",MB,DO, 19 ,,, -   ,, -   ,, 413.2 ,, -   ,, 39.6 ,," 2,006.7 ",, -   ,,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,University,Y,"Fayetteville-Springdale-Rogers, AR-MO","295,083",DR,DO, 4 ,,, -   ,, -   ,, 40.1 ,, -   ,, 7.5 ,, 8.7 ,, -   ,,,
AR,"University of Arkansas, Fayetteville(Razorback Transit)",6062,University,Y,"Fayetteville-Springdale-Rogers, AR-MO","295,083",Total,, 23 ,,, -   ,, -   ,, 453.4 ,, -   ,, 47.1 ,," 2,015.4 ",, -   ,,,
AZ,City of Glendale Transit,9034,City,N,"Phoenix-Mesa, AZ","3,629,114",DR,DO, 14 , 21 ,, -   ,, 424.6 ,, 388.4 ,, 31.3 ,, 29.0 ,, 85.9 ,, 431.2 ,,,
AZ,City of Glendale Transit,9034,City,N,"Phoenix-Mesa, AZ","3,629,114",MB,DO, 3 , 8 ,, 100.5 ,, 98.3 ,, 95.2 ,, 8.7 ,, 8.5 ,, 121.0 ,, 244.4 ,,,
AZ,City of Glendale Transit,9034,City,N,"Phoenix-Mesa, AZ","3,629,114",Total,, 17 , 29 ,, 100.5 ,, 522.9 ,, 483.6 ,, 40.0 ,, 37.5 ,, 206.9 ,, 675.6 ,,,
AZ,City of Lake Havasu(HAT),9240,City,Y,"Lake Havasu City, AZ","53,427",MB,DO, 4 ,,, -   ,, -   ,, 242.9 ,, -   ,, 18.1 ,, 92.5 ,, -   ,,,
AZ,City of Lake Havasu(HAT),9240,City,Y,"Lake Havasu City, AZ","53,427",DR,DO, 3 ,,, -   ,, -   ,, 75.6 ,, -   ,, 6.1 ,, 11.5 ,, -   ,,,
AZ,City of Lake Havasu(HAT),9240,City,Y,"Lake Havasu City, AZ","53,427",Total,, 7 ,,, -   ,, -   ,, 318.4 ,, -   ,, 24.2 ,, 104.1 ,, -   ,,,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,"Phoenix-Mesa, AZ","3,629,114",MB,PT, 392 , 493 ,," 16,117.8 ",," 19,738.4 ",," 15,977.7 ",," 1,446.7 ",," 1,311.6 ",," 40,845.9 ",," 152,071.3 ",,,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,"Phoenix-Mesa, AZ","3,629,114",DR,DO, 22 , 33 ,, -   ,, 396.6 ,, 252.5 ,, 38.9 ,, 28.2 ,, 118.4 ,, 883.3 ,,,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,"Phoenix-Mesa, AZ","3,629,114",DR,PT, 105 , 125 ,, -   ,," 4,213.0 ",," 3,519.9 ",, 301.1 ,, 252.2 ,, 336.3 ,," 3,396.8 ",,,
AZ,City of Phoenix Public Transit Department dba Valley Metro(Valley Metro),9032,City,N,"Phoenix-Mesa, AZ","3,629,114",Total,, 519 , 651 ,," 16,117.8 ",," 24,348.0 ",," 19,750.1 ",," 1,786.7 ",," 1,592.0 ",," 41,300.6 ",," 156,351.5 ",,,
AZ,City of Scottsdale - Scottsdale Trolley(COS),9131,City,N,"Phoenix-Mesa, AZ","3,629,114",MB,PT, 17 , 21 ,, 634.8 ,, 659.1 ,, 617.4 ,, 54.8 ,, 53.7 ,, 896.9 ,," 2,761.1 ",,,
AZ,City of Scottsdale - Scottsdale Trolley(COS),9131,City,N,"Phoenix-Mesa, AZ","3,629,114",Total,, 17 , 21 ,, 634.8 ,, 659.1 ,, 617.4 ,, 54.8 ,, 53.7 ,, 896.9 ,," 2,761.1 ",,,
AZ,City of Sierra Vista,9239,City,Y,"Sierra Vista, AZ","52,745",DR,DO, 3 ,,, -   ,, -   ,, 55.2 ,, -   ,, 4.6 ,, 10.3 ,, -   ,,,
AZ,City of Sierra Vista,9239,City,Y,"Sierra Vista, AZ","52,745",MB,DO, 5 ,,, -   ,, -   ,, 184.1 ,, -   ,, 13.5 ,, 143.3 ,, -   ,,,
AZ,City of Sierra Vista,9239,City,Y,"Sierra Vista, AZ","52,745",Total,, 8 ,,, -   ,, -   ,, 239.3 ,, -   ,, 18.1 ,, 153.6 ,, -   ,,,
AZ,City of Tempe Transit Division - dba Valley Metro(TIM - Tempe in Motion),9172,City,N,"Phoenix-Mesa, AZ","3,629,114",MB,PT, 106 , 135 ,," 5,201.8 ",," 5,809.8 ",," 5,193.1 ",, 490.9 ,, 456.1 ,," 8,896.1 ",," 31,048.5 ",,,
AZ,City of Tempe Transit Division - dba Valley Metro(TIM - Tempe in Motion),9172,City,N,"Phoenix-Mesa, AZ","3,629,114",Total,, 106 , 135 ,," 5,201.8 ",," 5,809.8 ",," 5,193.1 ",, 490.9 ,, 456.1 ,," 8,896.1 ",," 31,048.5 ",,,
AZ,City of Tucson(COT),9033,City,N,"Tucson, AZ","843,168",DR,DO, 115 , 132 ,, -   ,," 4,310.9 ",," 3,612.2 ",, 315.1 ,, 274.2 ,, 545.0 ,," 4,532.2 ",,,
AZ,City of Tucson(COT),9033,City,N,"Tucson, AZ","843,168",MB,DO, 210 , 252 ,," 8,064.6 ",," 9,292.3 ",," 8,054.0 ",, 698.7 ,, 645.0 ,," 20,328.3 ",," 77,989.0 ",,,
AZ,City of Tucson(COT),9033,City,N,"Tucson, AZ","843,168",Total,, 325 , 384 ,," 8,064.6 ",," 13,603.2 ",," 11,666.2 ",," 1,013.8 ",, 919.2 ,," 20,873.2 ",," 82,521.2 ",,,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Authority,N,"Flagstaff, AZ","71,957",MB,DO, 15 , 20 ,, 701.7 ,, 741.2 ,, 700.9 ,, 59.6 ,, 57.4 ,," 1,842.3 ",," 5,858.6 ",,,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Authority,N,"Flagstaff, AZ","71,957",DR,DO, 6 , 8 ,, -   ,, 126.9 ,, 85.6 ,, 11.9 ,, 7.5 ,, 24.6 ,, 154.8 ,,,
AZ,Northern Arizona Intergovernmental Public Transportation Authority(NAIPTA),9219,Authority,N,"Flagstaff, AZ","71,957",Total,, 21 , 28 ,, 701.7 ,, 868.1 ,, 786.5 ,, 71.5 ,, 64.9 ,," 1,866.9 ",," 6,013.3 ",,,
AZ,Peoria Transit,9140,City,N,"Phoenix-Mesa, AZ","3,629,114",DR,DO, 5 , 8 ,, -   ,, 107.5 ,, 99.9 ,, 8.1 ,, 7.9 ,, 24.5 ,, 147.7 ,,,
AZ,Peoria Transit,9140,City,N,"Phoenix-Mesa, AZ","3,629,114",Total,, 5 , 8 ,, -   ,, 107.5 ,, 99.9 ,, 8.1 ,, 7.9 ,, 24.5 ,, 147.7 ,,,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Authority,N,"Phoenix-Mesa, AZ","3,629,114",DT,PT, 113 , 113 ,, -   ,," 2,593.1 ",," 2,593.1 ",, 91.9 ,, 91.9 ,, 338.9 ,," 2,837.3 ",,,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Authority,N,"Phoenix-Mesa, AZ","3,629,114",MB,PT, 170 , 205 ,," 6,202.3 ",," 8,121.4 ",," 6,200.6 ",, 545.1 ,, 467.8 ,," 9,619.7 ",," 49,445.5 ",,,
AZ,"Regional Public Transportation Authority, dba: Valley Metro(RPTA)",9136,Authority,N,"Phoenix-Mesa, AZ","3,629,114",Total,, 283 , 318 ,," 6,202.3 ",," 10,714.5 ",," 8,793.7 ",, 637.0 ,, 559.7 ,," 9,958.6 ",," 52,282.8 ",,,
AZ,Surprise Dial-A-Ride Transit System(Surprise DAR),9137,City,Y,"Phoenix-Mesa, AZ","3,629,114",DR,DO, 7 ,,, -   ,, -   ,, 19.0 ,, -   ,, 2.0 ,, 5.3 ,, -   ,,,
AZ,Surprise Dial-A-Ride Transit System(Surprise DAR),9137,City,Y,"Phoenix-Mesa, AZ","3,629,114",Total,, 7 ,,, -   ,, -   ,, 19.0 ,, -   ,, 2.0 ,, 5.3 ,, -   ,,,
AZ,Town of Oro Valley - Transit Services Division(SunShutDNR),9191,City,Y,"Tucson, AZ","843,168",DR,DO, 17 ,,, -   ,, -   ,, 284.6 ,, -   ,, 20.9 ,, 32.4 ,, -   ,,,
AZ,Town of Oro Valley - Transit Services Division(SunShutDNR),9191,City,Y,"Tucson, AZ","843,168",Total,, 17 ,,, -   ,, -   ,, 284.6 ,, -   ,, 20.9 ,, 32.4 ,, -   ,,,
AZ,"Valley Metro Rail, Inc.(VMR)",9209,Semi-Public Corp,N,"Phoenix-Mesa, AZ","3,629,114",LR,PT, 26 , 50 ,," 2,323.8 ",," 2,465.2 ",," 2,430.8 ",, 171.4 ,, 168.4 ,," 14,286.1 ",," 97,694.1 ",,,
AZ,"Valley Metro Rail, Inc.(VMR)",9209,Semi-Public Corp,N,"Phoenix-Mesa, AZ","3,629,114",Total,, 26 , 50 ,," 2,323.8 ",," 2,465.2 ",," 2,430.8 ",, 171.4 ,, 168.4 ,," 14,286.1 ",," 97,694.1 ",,,
AZ,"vRide, Inc. - Tucson",9228,Contractor,N,"Tucson, AZ","843,168",VP,DO, 29 , 33 ,, -   ,, 592.2 ,, 592.2 ,, 12.6 ,, 12.6 ,, 77.6 ,," 3,229.1 ",,,
AZ,"vRide, Inc. - Tucson",9228,Contractor,N,"Tucson, AZ","843,168",Total,, 29 , 33 ,, -   ,, 592.2 ,, 592.2 ,, 12.6 ,, 12.6 ,, 77.6 ,," 3,229.1 ",,,
AZ,"vRide, Inc. - Valley Metro",9169,Contractor,N,"Phoenix-Mesa, AZ","3,629,114",VP,DO, 394 , 424 ,, -   ,," 6,382.4 ",," 6,382.4 ",, 144.8 ,, 144.8 ,," 1,197.0 ",," 30,764.6 ",,,
AZ,"vRide, Inc. - Valley Metro",9169,Contractor,N,"Phoenix-Mesa, AZ","3,629,114",Total,, 394 , 424 ,, -   ,," 6,382.4 ",," 6,382.4 ",, 144.8 ,, 144.8 ,," 1,197.0 ",," 30,764.6 ",,,
AZ,Yuma County Intergovernmental Public Transportation Authority(YCAT),9233,Authority,N,"Yuma, AZ-CA","135,267",MB,PT, 14 , 23 ,, 664.9 ,, 804.4 ,, 678.7 ,, 39.6 ,, 33.1 ,, 377.5 ,," 4,378.4 ",,,
AZ,Yuma County Intergovernmental Public Transportation Authority(YCAT),9233,Authority,N,"Yuma, AZ-CA","135,267",DR,PT, 3 , 13 ,, -   ,, 123.1 ,, 77.5 ,, 3.6 ,, 2.2 ,, 3.6 ,, 30.9 ,,,
AZ,Yuma County Intergovernmental Public Transportation Authority(YCAT),9233,Authority,N,"Yuma, AZ-CA","135,267",Total,, 17 , 36 ,, 664.9 ,, 927.6 ,, 756.2 ,, 43.2 ,, 35.3 ,, 381.0 ,," 4,409.3 ",,,
CA,Access Services(AS),9157,Authority,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",DR,PT, 674 , 745 ,, -   ,," 39,219.8 ",," 32,931.8 ",," 2,363.0 ",," 1,913.7 ",," 3,481.2 ",," 45,491.0 ",,,
CA,Access Services(AS),9157,Authority,N,"Los Angeles-Long Beach-Anaheim, CA","12,150,996",Total,, 674 , 745 ,, -   ,," 39,219.8 ",," 32,931.8 ",," 2,363.0 ",," 1,913.7 ",," 3,481.2 ",," 45,491.0 ",,,
CA,Alameda-Contra Costa Transit District(AC Transit),9014,Authority,N,"San Francisco-Oakland, CA","3,281,212",MB,PT, 14 , 16 ,, 426.5 ,, 481.3 ,, 426.5 ,, 27.6 ,, 24.6 ,, 305.5 ,, -   ,,,
CA,Alameda-Contra Costa Transit District(AC Transit),9014,Authority,N,"San Francisco-Oakland, CA","3,281,212",MB,DO, 493 , 569 ,," 18,432.8 ",," 21,557.2 ",," 18,045.8 ",," 1,763.0 ",," 1,606.0 ",," 54,929.4 ",," 203,277.8 ",,,
