State,Name,ID,,Mode,,, Vehicles Available for Maximum Service,Annual Scheduled Vehicle Revenue Miles,Annual Vehicle Miles, Annual Vehicle Revenue Miles,Annual Vehicle Hours,Annual Vehicle Revenue Hours,Unlinked Passenger Trips,Passenger Miles
AZ,Yuma Metropolitan Planning Organization (YMPO),,,,,,,,,,,,,
,,9192,E,DR,PT,7,13,0.0 ,207.3 ,206.9 ,17.6 ,17.6 ,53.1 ,249.7 
,,9192,E,MB,PT,4,6,212.8 ,225.6 ,212.8 ,15.6 ,13.0 ,47.0 ,0.0 
,,,Total,,,11,19,212.8 ,432.9 ,419.7 ,33.2 ,30.6 ,100.2 ,249.7 
CA, Sonoma County Transit,,,,,,,,,,,,,
,,9089,B,DR,PT,15,21,0.0 ,481.7 ,248.3 ,28.2 ,16.6 ,27.6 ,428.7 
,,9089,B,MB,PT,43,57,"1,560.8 ","2,030.9 ","1,553.0 ",111.5 ,90.4 ,"1,390.9 ","11,145.0 "
,,,Total,,,58,78,"1,560.8 ","2,512.6 ","1,801.3 ",139.7 ,107.0 ,"1,418.5 ","11,573.7 "
CA," University of California, Davis (Unitrans)",,,,,,,,,,,,,
,,9142,A,MB,DO,35,44,710.3 ,746.3 ,700.4 ,68.3 ,65.2 ,"3,142.5 ","6,526.9 "
CA,Access Services Incorporated (ASI),,,,,,,,,,,,,
,,9157,E,DR,PT,470,522,0.0 ,"30,837.6 ","20,810.7 ","1,511.0 ","1,008.9 ","2,443.9 ","27,110.1 "
CA,Alameda-Contra Costa Transit District (AC Transit),,,,,,,,,,,,,
,,9014,B,MB,DO,654,774,"23,358.7 ","27,128.0 ","23,305.7 ","2,214.8 ","2,034.4 ","62,058.4 ","169,791.0 "
,,9014,B,MB,PT,9,12,227.0 ,289.4 ,227.0 ,16.0 ,14.0 ,234.6 ,"2,705.3 "
,,,Total,,,663,786,"23,585.7 ","27,417.3 ","23,532.7 ","2,230.8 ","2,048.4 ","62,293.0 ","172,496.3 "
CA,Altamont Commuter Express (ACE),,,,,,,,,,,,,
,,9182,B,CR,PT,21,25,752.4 ,747.3 ,747.3 ,20.3 ,20.3 ,665.3 ,"31,230.9 "
CA,Antelope Valley Transit Authority (AVTA),,,,,,,,,,,,,
,,9121,B,DR,PT,11,14,0.0 ,571.9 ,490.3 ,27.1 ,23.9 ,52.4 ,570.6 
,,9121,B,MB,PT,44,49,"2,000.4 ","2,266.0 ","2,049.0 ",128.2 ,112.4 ,"2,691.4 ","36,842.8 "
,,,Total,,,55,63,"2,000.4 ","2,837.8 ","2,539.3 ",155.3 ,136.3 ,"2,743.8 ","37,413.4 "
CA,ATC / Vancom,,,,,,,,,,,,,
,,9170,D,DR,PT,199,199,0.0 ,"7,036.1 ","5,777.9 ",454.0 ,395.5 ,670.1 ,"5,498.7 "
CA,Central Contra Costa Transit Authority (County Connection),,,,,,,,,,,,,
,,9078,B,DR,PT,42,44,0.0 ,"1,404.5 ","1,168.0 ",92.7 ,78.0 ,135.2 ,"1,054.7 "
,,9078,B,MB,DO,107,131,"3,945.5 ","4,722.7 ","3,939.2 ",341.1 ,302.5 ,"4,509.8 ","18,871.9 "
,,,Total,,,149,175,"3,945.5 ","6,127.2 ","5,107.2 ",433.9 ,380.5 ,"4,645.0 ","19,926.5 "
CA,Chico Area Transit System City of Chico (CATS),,,,,,,,,,,,,
,,9127,B,MB,PT,16,16,473.6 ,561.8 ,473.6 ,44.2 ,41.3 ,823.5 ,"2,676.2 "
CA,Chula Vista Transit (CVT),,,,,,,,,,,,,
,,9193,B,MB,PT,29,35,"1,410.6 ","1,524.9 ","1,408.9 ",125.1 ,111.0 ,"3,335.2 ","12,370.1 "
CA,City of Alameda Ferry Services,,,,,,,,,,,,,
,,9150,B,FB,PT,3,5,62.8 ,69.9 ,62.8 ,6.4 ,5.9 ,532.2 ,"3,286.7 "
CA,City of Arcadia Transit,,,,,,,,,,,,,
,,9044,B,DR,PT,18,18,0.0 ,374.5 ,330.9 ,32.8 ,30.0 ,163.7 ,561.3 
CA,City of Commerce Municipal Buslines (CBL),,,,,,,,,,,,,
,,9043,A,DR,DO,4,4,0.0 ,60.2 ,56.9 ,4.2 ,3.8 ,6.7 ,40.0 
,,9043,A,MB,DO,6,8,243.4 ,245.9 ,243.4 ,19.4 ,18.1 ,805.3 ,"2,678.7 "
,,,Total,,,10,12,243.4 ,306.2 ,300.4 ,23.6 ,21.9 ,811.9 ,"2,718.7 "
CA,City of Corona (Corona Dial-A-Ride),,,,,,,,,,,,,
,,9052,B,DR,PT,7,8,0.0 ,238.3 ,219.0 ,15.5 ,13.9 ,67.5 ,290.0 
,,9052,B,MB,PT,4,5,190.6 ,200.3 ,191.1 ,15.8 ,14.9 ,102.8 ,334.5 
,,,Total,,,11,13,190.6 ,438.6 ,410.1 ,31.4 ,28.8 ,170.2 ,624.5 
CA,City of Fairfield - Fairfield-Suisun Transit (FST),,,,,,,,,,,,,
,,9092,B,DR,PT,3,5,0.0 ,101.6 ,93.4 ,8.2 ,7.6 ,17.9 ,96.4 
,,9092,B,MB,PT,18,41,879.6 ,927.0 ,879.6 ,52.3 ,49.3 ,873.9 ,"3,932.7 "
,,,Total,,,21,46,879.6 ,"1,028.7 ",973.1 ,60.5 ,56.8 ,891.8 ,"4,029.1 "
CA,City of Gardena Transportation Department (GMBL),,,,,,,,,,,,,
,,9042,B,DR,PT,8,10,0.0 ,107.4 ,93.2 ,14.2 ,12.1 ,31.3 ,128.9 
,,9042,B,MB,DO,40,48,"1,630.9 ","1,630.9 ","1,603.2 ",117.4 ,112.5 ,"4,826.6 ","17,636.4 "
,,,Total,,,48,58,"1,630.9 ","1,738.3 ","1,696.4 ",131.5 ,124.7 ,"4,857.9 ","17,765.3 "
CA,City of La Mirada Transit (LMT),,,,,,,,,,,,,
,,9024,A,DR,DO,12,12,0.0 ,162.2 ,145.9 ,10.5 ,9.9 ,72.9 ,344.2 
CA,City of Lodi - Transit Division,,,,,,,,,,,,,
,,9175,B,DR,PT,16,16,0.0 ,269.3 ,259.1 ,26.5 ,26.2 ,87.6 ,218.9 
,,9175,B,MB,PT,9,9,286.8 ,291.4 ,286.8 ,24.0 ,23.5 ,433.3 ,"1,408.2 "
,,,Total,,,25,25,286.8 ,560.7 ,545.8 ,50.5 ,49.7 ,520.9 ,"1,627.2 "
CA,City of Lompoc - Lompoc Transit (COLT),,,,,,,,,,,,,
,,9149,B,DR,PT,2,3,0.0 ,65.0 ,62.1 ,6.6 ,6.4 ,19.8 ,59.9 
,,9149,B,MB,PT,8,13,296.9 ,314.3 ,296.9 ,19.0 ,17.8 ,198.8 ,"5,459.6 "
,,,Total,,,10,16,296.9 ,379.3 ,359.0 ,25.6 ,24.3 ,218.6 ,"5,519.5 "
CA,City of Los Angeles Department of Transportation (LADOT),,,,,,,,,,,,,
,,9147,B,DR,PT,158,193,0.0 ,"5,156.4 ","4,722.2 ",351.2 ,316.6 ,"1,264.5 ","5,307.3 "
,,9147,B,MB,PT,217,274,"6,655.5 ","9,113.6 ","6,642.4 ",691.3 ,586.6 ,"24,266.8 ","63,866.0 "
,,,Total,,,375,467,"6,655.5 ","14,270.0 ","11,364.6 ","1,042.4 ",903.2 ,"25,531.3 ","69,173.4 "
CA,City of Riverside Special Transportation,,,,,,,,,,,,,
,,9086,B,DR,DO,24,24,0.0 ,679.1 ,665.8 ,38.7 ,38.0 ,160.5 ,663.0 
CA,City of San Luis Obispo (SLO Transit),,,,,,,,,,,,,
,,9156,B,MB,PT,11,11,392.5 ,412.9 ,392.5 ,38.1 ,36.5 ,677.4 ,"5,786.3 "
CA,City of Santa Rosa,,,,,,,,,,,,,
,,9017,B,DR,PT,15,15,0.0 ,214.0 ,162.6 ,23.5 ,19.3 ,38.7 ,0.0 
,,9017,B,MB,DO,22,29,"1,006.7 ","1,033.7 ","1,006.1 ",82.4 ,80.9 ,"2,588.2 ","8,765.5 "
,,,Total,,,37,44,"1,006.7 ","1,247.7 ","1,168.7 ",105.8 ,100.1 ,"2,626.9 ","8,765.5 "
CA,City of Union City Transit Division (UCT),,,,,,,,,,,,,
,,9161,B,DR,PT,5,5,0.0 ,87.0 ,77.6 ,7.1 ,6.7 ,14.8 ,45.3 
,,9161,B,MB,PT,17,17,504.3 ,538.2 ,503.2 ,39.2 ,37.5 ,442.3 ,"1,879.7 "
,,,Total,,,22,22,504.3 ,625.3 ,580.8 ,46.3 ,44.3 ,457.0 ,"1,925.0 "
CA,"City of Vallejo Transportation Program (Vallejo Transit, Baylink)",,,,,,,,,,,,,
,,9028,B,DR,PT,10,12,0.0 ,294.8 ,267.1 ,20.7 ,18.8 ,39.0 ,363.3 
,,9028,B,FB,PT,2,3,213.0 ,219.3 ,210.4 ,7.9 ,7.6 ,655.1 ,"17,087.8 "
,,9028,B,MB,PT,44,92,"2,400.0 ","2,535.1 ","2,388.4 ",127.0 ,114.8 ,"2,614.7 ","15,998.3 "
,,,Total,,,56,107,"2,613.0 ","3,049.1 ","2,865.9 ",155.6 ,141.2 ,"3,308.8 ","33,449.4 "
CA,City of Visalia - Visalia City Coach (VCC),,,,,,,,,,,,,
,,9091,B,DR,PT,6,6,0.0 ,152.2 ,144.2 ,12.2 ,10.5 ,36.1 ,231.1 
,,9091,B,MB,PT,19,19,859.0 ,883.8 ,859.0 ,63.5 ,61.4 ,"1,056.6 ","3,959.8 "
,,,Total,,,25,25,859.0 ,"1,036.0 ","1,003.2 ",75.7 ,71.9 ,"1,092.7 ","4,191.0 "
CA,County of San Diego Transit System (CTS),,,,,,,,,,,,,
,,9188,B,DR,PT,43,64,0.0 ,"1,684.0 ","1,376.6 ",112.5 ,93.2 ,175.4 ,"1,399.2 "
,,9188,B,MB,PT,85,109,"3,522.5 ","4,145.1 ","3,508.9 ",314.8 ,261.5 ,"4,670.8 ","25,645.8 "
,,,Total,,,128,173,"3,522.5 ","5,829.1 ","4,885.5 ",427.3 ,354.7 ,"4,846.3 ","27,044.9 "
CA,Culver City Municipal Bus Lines (CityBus),,,,,,,,,,,,,
,,9039,A,MB,DO,33,46,"1,414.8 ","1,504.7 ","1,417.2 ",127.3 ,124.2 ,"5,288.5 ","16,394.3 "
CA,Eastern Contra Costa Transit Authority (Tri Delta Transit),,,,,,,,,,,,,
,,9162,B,DR,PT,14,18,0.0 ,527.7 ,456.4 ,45.7 ,40.7 ,100.8 ,622.0 
,,9162,B,MB,PT,46,60,"2,090.1 ","2,301.0 ","2,082.2 ",164.0 ,148.3 ,"2,224.9 ","13,415.9 "
,,,Total,,,60,78,"2,090.1 ","2,828.6 ","2,538.6 ",209.7 ,189.1 ,"2,325.7 ","14,037.9 "
CA,Foothill Transit,,,,,,,,,,,,,
,,9146,B,MB,PT,256,297,"16,491.3 ","16,314.9 ","12,423.9 ",862.5 ,735.3 ,"17,101.4 ","110,863.9 "
CA,Fresno Area Express (FAX),,,,,,,,,,,,,
,,9027,B,DR,PT,22,25,0.0 ,"1,011.1 ",867.4 ,71.2 ,56.6 ,117.8 ,964.3 
,,9027,B,MB,DO,83,103,"4,032.4 ","4,403.2 ","4,026.4 ",340.9 ,306.0 ,"11,213.0 ","37,108.8 "
,,,Total,,,105,128,"4,032.4 ","5,414.3 ","4,893.9 ",412.1 ,362.6 ,"11,330.8 ","38,073.1 "
CA,Golden Empire Transit District (GET),,,,,,,,,,,,,
,,9004,A,DR,DO,12,13,0.0 ,448.4 ,408.1 ,27.1 ,24.8 ,56.9 ,424.5 
,,9004,A,MB,DO,65,79,"3,369.8 ","3,578.9 ","3,358.8 ",269.2 ,261.0 ,"6,962.3 ","30,355.5 "
,,,Total,,,77,92,"3,369.8 ","4,027.4 ","3,766.9 ",296.3 ,285.8 ,"7,019.2 ","30,780.0 "
CA,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",,,,,,,,,,,,,
,,9016,B,DR,PT,26,46,0.0 ,"1,031.2 ",875.5 ,58.0 ,48.3 ,86.3 ,703.6 
,,9016,B,FB,DO,5,6,188.1 ,193.9 ,188.6 ,14.9 ,14.6 ,"1,596.1 ","18,541.7 "
,,9016,B,MB,DO,223,268,"7,555.6 ","8,911.2 ","7,540.2 ",471.1 ,421.5 ,"8,469.9 ","101,384.5 "
,,9016,B,MB,PT,10,10,177.2 ,302.5 ,176.7 ,11.0 ,7.6 ,108.5 ,0.0 
,,,Total,,,264,330,"7,920.8 ","10,438.9 ","8,781.0 ",555.1 ,492.1 ,"10,260.8 ","120,629.8 "
CA,Laguna Beach Municipal Transit (CLB),,,,,,,,,,,,,
,,9119,A,JT,DO,11,12,0.0 ,42.0 ,42.0 ,6.5 ,6.5 ,250.8 ,272.3 
,,9119,A,MB,DO,3,4,118.2 ,119.1 ,118.2 ,9.4 ,9.2 ,87.4 ,119.3 
,,,Total,,,14,16,118.2 ,161.1 ,160.2 ,15.9 ,15.7 ,338.3 ,391.6 
CA,Livermore / Amador Valley Transit Authority (LAVTA),,,,,,,,,,,,,
,,9144,B,DR,PT,10,15,0.0 ,345.7 ,307.1 ,24.5 ,22.8 ,42.6 ,308.5 
,,9144,B,MB,PT,54,81,"1,849.8 ","2,136.5 ","1,849.8 ",141.6 ,131.9 ,"1,921.9 ","9,499.4 "
,,,Total,,,64,96,"1,849.8 ","2,482.2 ","2,156.9 ",166.1 ,154.6 ,"1,964.5 ","9,807.9 "
CA,Long Beach Transit (LBT),,,,,,,,,,,,,
,,9023,B,DR,PT,18,18,0.0 ,346.3 ,346.3 ,13.9 ,13.9 ,87.0 ,416.4 
,,9023,B,MB,DO,169,221,"7,150.5 ","7,668.6 ","7,092.5 ",686.2 ,657.0 ,"26,282.2 ","70,933.1 "
,,,Total,,,187,239,"7,150.5 ","8,014.9 ","7,438.8 ",700.0 ,670.9 ,"26,369.2 ","71,349.5 "
CA,Los Angeles County Metropolitan Transportation Authority (LACMTA),,,,,,,,,,,,,
,,9154,B,HR,DO,74,102,"6,062.6 ","6,199.6 ","5,986.5 ",287.5 ,263.9 ,"31,695.0 ","151,901.3 "
,,9154,B,LR,DO,86,105,"6,987.0 ","6,862.8 ","6,782.6 ",296.5 ,286.2 ,"31,869.2 ","225,711.9 "
,,9154,B,MB,DO,"2,004","2,567","83,110.6 ","97,893.5 ","82,323.2 ","7,441.2 ","6,832.3 ","355,570.6 ","1,405,866.9 "
,,9154,B,MB,PT,142,176,"6,699.6 ","7,841.9 ","6,485.6 ",541.5 ,492.6 ,"10,669.5 ","34,680.1 "
,,,Total,,,"2,306","2,950","102,859.9 ","118,797.8 ","101,577.9 ","8,566.7 ","7,875.0 ","429,804.2 ","1,818,160.3 "
CA,Los Angeles County Metropolitan Transportation Authority (LACMTA),,,,,,,,,,,,,
,,9166,B,DR,PT,159,184,0.0 ,"3,671.4 ","3,246.1 ",302.3 ,272.0 ,"1,108.4 ","4,178.4 "
,,9166,B,MB,PT,122,146,"3,679.3 ","4,061.3 ","3,816.4 ",372.9 ,333.0 ,"9,235.7 ","21,232.6 "
,,,Total,,,281,330,"3,679.3 ","7,732.7 ","7,062.5 ",675.2 ,605.1 ,"10,344.1 ","25,411.0 "
CA,Merced County Transit (The Bus),,,,,,,,,,,,,
,,9173,B,DR,PT,12,26,0.0 ,460.4 ,450.5 ,27.1 ,26.8 ,151.6 ,929.1 
,,9173,B,MB,PT,18,27,969.0 ,"1,038.8 ",997.5 ,56.5 ,51.4 ,905.8 ,"1,946.1 "
,,,Total,,,30,53,969.0 ,"1,499.2 ","1,448.0 ",83.6 ,78.3 ,"1,057.4 ","2,875.3 "
CA,Modesto Area Express (MAX),,,,,,,,,,,,,
,,9007,B,DR,PT,14,14,0.0 ,507.9 ,507.9 ,37.0 ,37.0 ,106.4 ,674.4 
,,9007,B,MB,PT,46,46,"1,574.5 ","1,609.9 ","1,573.9 ",116.7 ,114.9 ,"3,106.1 ","11,185.1 "
,,,Total,,,60,60,"1,574.5 ","2,117.8 ","2,081.8 ",153.7 ,151.9 ,"3,212.4 ","11,859.5 "
CA,Montebello Bus Lines (MBL),,,,,,,,,,,,,
,,9041,B,DR,DO,4,5,0.0 ,69.7 ,64.9 ,8.3 ,7.7 ,20.3 ,51.0 
,,9041,B,MB,DO,53,66,"2,810.6 ","2,851.2 ","2,765.9 ",244.7 ,239.0 ,"10,187.2 ","31,158.3 "
,,9041,B,MB,PT,4,4,78.0 ,96.4 ,78.0 ,8.1 ,6.1 ,80.7 ,368.5 
,,,Total,,,61,75,"2,888.6 ","3,017.3 ","2,908.9 ",261.2 ,252.8 ,"10,288.2 ","31,577.8 "
CA,Monterey-Salinas Transit (MST),,,,,,,,,,,,,
,,9062,B,DR,PT,21,22,0.0 ,855.5 ,798.8 ,41.5 ,39.0 ,98.1 ,853.5 
,,9062,B,MB,DO,72,79,"2,681.1 ","2,756.9 ","2,690.8 ",208.0 ,195.7 ,"4,586.7 ","21,835.4 "
,,9062,B,MB,PT,9,11,320.3 ,342.7 ,320.3 ,16.5 ,15.2 ,108.8 ,696.6 
,,,Total,,,102,112,"3,001.4 ","3,955.1 ","3,809.9 ",266.1 ,249.8 ,"4,793.6 ","23,385.4 "
CA,MTS Contract Services (MTSCS),,,,,,,,,,,,,
,,9185,B,DR,PT,75,88,0.0 ,"2,941.1 ","2,380.9 ",190.2 ,148.4 ,428.1 ,"2,822.8 "
,,9185,B,MB,PT,112,138,"5,271.2 ","5,963.1 ","5,220.5 ",488.8 ,429.9 ,"12,366.0 ","41,952.4 "
,,,Total,,,187,226,"5,271.2 ","8,904.2 ","7,601.4 ",679.1 ,578.3 ,"12,794.0 ","44,775.3 "
CA,Napa County Transportation Planning Agency (NCTPA),,,,,,,,,,,,,
,,9088,B,DR,PT,12,14,0.0 ,214.6 ,186.0 ,17.5 ,16.0 ,35.7 ,224.9 
,,9088,B,MB,PT,17,26,787.5 ,803.5 ,788.0 ,54.3 ,51.6 ,881.1 ,"3,638.8 "
