State,Name,ID,Org / Type,Mode,TOS, VOMS,Service Supplied (in 000's),,,,,,Unlinked Passenger Trips,
,,4103,A,DR,DO,15,19,0.0 ,666.1 ,463.5 ,42.0 ,19.6 ,157.3 ,463.5 
AR,Central Arkansas Transit Authority (CATA),,,,,,,,,,,,,
,,6033,A,DR,DO,15,16,0.0 ,539.8 ,466.7 ,34.0 ,25.1 ,54.3 ,446.6 
,,6033,A,MB,DO,47,63,"2,310.3 ","2,445.3 ","2,310.3 ",171.5 ,165.8 ,"3,408.4 ","12,723.3 "
,,,Total,,,62,79,"2,310.3 ","2,985.1 ","2,777.1 ",205.4 ,190.9 ,"3,462.7 ","13,169.9 "
AR,Fort Smith Public Transit (FST),,,,,,,,,,,,,
,,6086,A,DR,DO,4,5,0.0 ,188.3 ,175.9 ,12.4 ,11.7 ,52.2 ,75.9 
,,6086,A,MB,DO,10,13,335.0 ,346.4 ,323.7 ,25.9 ,24.3 ,143.4 ,772.4 
,,,Total,,,14,18,335.0 ,534.7 ,499.6 ,38.3 ,36.0 ,195.6 ,848.3 
AR,Ozark Regional Transit (ORT),,,,,,,,,,,,,
,,6072,A,DR,DO,26,34,0.0 ,672.8 ,553.8 ,41.2 ,36.5 ,117.9 ,"1,438.5 "
,,6072,A,MB,DO,2,4,1.0 ,11.8 ,10.0 ,0.8 ,0.8 ,5.6 ,0.0 
,,,Total,,,28,38,1.0 ,684.6 ,563.8 ,42.1 ,37.2 ,123.5 ,"1,438.5 "
AR,"University of Arkansas, Fayetteville (Razorback Transit)",,,,,,,,,,,,,
,,6062,A,DR,DO,3,4,0.0 ,42.5 ,28.1 ,4.4 ,3.5 ,7.0 ,12.6 
,,6062,A,MB,DO,12,23,230.4 ,230.4 ,207.4 ,21.7 ,20.8 ,"1,140.2 ","2,052.4 "
,,,Total,,,15,27,230.4 ,273.0 ,235.5 ,26.1 ,24.3 ,"1,147.2 ","2,065.0 "
AZ,City of Glendale Transit,,,,,,,,,,,,,
,,9034,B,DR,DO,12,15,0.0 ,339.0 ,317.0 ,24.7 ,22.5 ,76.6 ,413.8 
,,9034,B,MB,DO,3,3,134.0 ,134.2 ,132.5 ,8.9 ,8.6 ,73.9 ,295.6 
,,9034,B,MB,PT,1,1,34.1 ,39.3 ,35.0 ,3.2 ,2.8 ,13.7 ,83.8 
,,,Total,,,16,19,168.1 ,512.5 ,484.5 ,36.7 ,34.0 ,164.2 ,793.2 
AZ,City of Mesa,,,,,,,,,,,,,
,,9129,B,MB,PT,26,49,"1,474.5 ","1,756.9 ","1,473.7 ",124.4 ,107.7 ,"1,204.9 ","2,698.9 "
AZ,City of Phoenix Public Transit Department (Valley Metro),,,,,,,,,,,,,
,,9032,B,DR,PT,128,149,0.0 ,"4,668.7 ","3,854.0 ",361.5 ,283.0 ,465.0 ,"3,538.5 "
,,9032,B,MB,DO,309,371,"11,582.5 ","13,889.8 ","11,625.1 ","1,003.6 ",755.0 ,"31,730.7 ","121,038.0 "
,,9032,B,MB,PT,64,91,"3,211.2 ","3,550.3 ","3,210.0 ",233.7 ,210.6 ,"4,803.5 ","17,201.4 "
,,,Total,,,501,611,"14,793.7 ","22,108.7 ","18,689.1 ","1,598.8 ","1,248.7 ","36,999.2 ","141,777.9 "
AZ,City of Tempe Transportation Planning & Transit Division (TIM - Tempe in Motion),,,,,,,,,,,,,
,,9172,B,MB,PT,82,111,"4,344.5 ","4,825.0 ","4,332.0 ",454.7 ,412.9 ,"5,084.5 ","15,366.7 "
AZ,City of Tucson (COT),,,,,,,,,,,,,
,,9033,A,DR,DO,57,67,0.0 ,"2,215.2 ","1,869.9 ",177.9 ,154.7 ,283.8 ,"2,661.0 "
,,9033,A,MB,DO,147,199,"6,928.4 ","7,537.8 ","6,690.5 ",554.9 ,506.1 ,"15,245.4 ","55,164.3 "
,,,Total,,,204,266,"6,928.4 ","9,753.0 ","8,560.4 ",732.8 ,660.8 ,"15,529.2 ","57,825.4 "
AZ,Coconino County Transportation Services,,,,,,,,,,,,,
,,9180,A,DR,DO,7,12,0.0 ,418.8 ,151.5 ,13.9 ,11.1 ,29.1 ,151.5 
,,9180,A,MB,DO,5,14,248.5 ,267.6 ,248.5 ,16.4 ,16.4 ,191.5 ,248.5 
,,,Total,,,12,26,248.5 ,686.3 ,400.0 ,30.3 ,27.6 ,220.6 ,400.0 
AZ,Maricopa County Special Transportation Services,,,,,,,,,,,,,
,,9132,B,DR,PT,32,66,0.0 ,706.2 ,620.8 ,79.9 ,66.2 ,158.7 ,455.9 
AZ,Peoria Transit,,,,,,,,,,,,,
,,9140,A,DR,DO,5,9,0.0 ,187.0 ,168.8 ,10.6 ,9.6 ,36.8 ,201.3 
AZ,"Phoenix - VPSI, Inc.",,,,,,,,,,,,,
,,9169,E,VP,DO,216,275,0.0 ,"3,653.8 ","3,653.8 ",89.4 ,89.4 ,753.9 ,"20,330.5 "
AZ,"Sun Cities Area Transit System, Inc. (SCAT)",,,,,,,,,,,,,
,,9135,D,DR,DO,14,14,0.0 ,243.6 ,218.3 ,20.2 ,18.0 ,60.4 ,202.1 
AZ,Surprise Dial-A-Ride Transit System,,,,,,,,,,,,,
,,9137,A,DR,DO,3,3,0.0 ,46.8 ,45.8 ,4.4 ,3.9 ,7.4 ,35.0 
CA,Access Services Incorporated (ASI),,,,,,,,,,,,,
,,9157,E,DR,PT,465,517,0.0 ,"25,985.4 ","17,739.3 ","1,212.6 ",739.7 ,"2,101.7 ","22,353.0 "
CA,Alameda-Contra Costa Transit District (AC Transit),,,,,,,,,,,,,
,,9014,A,MB,DO,654,768,"23,015.6 ","26,690.2 ","22,957.9 ","2,181.1 ","1,997.0 ","68,858.8 ","192,260.9 "
,,9014,A,MB,PT,9,11,236.5 ,295.0 ,236.5 ,17.6 ,15.3 ,226.3 ,"2,609.2 "
,,,Total,,,663,779,"23,252.1 ","26,985.2 ","23,194.3 ","2,198.7 ","2,012.3 ","69,085.1 ","194,870.1 "
CA,Altamont Commuter Express (ACE),,,,,,,,,,,,,
,,9182,B,CR,PT,20,25,738.7 ,738.7 ,738.7 ,20.2 ,20.2 ,803.5 ,"36,610.2 "
CA,Antelope Valley Transit Authority (AVTA),,,,,,,,,,,,,
,,9121,B,DR,PT,10,14,0.0 ,563.6 ,494.6 ,25.6 ,23.0 ,51.2 ,540.1 
,,9121,B,MB,PT,41,49,"2,031.0 ","2,259.5 ","2,023.0 ",125.5 ,110.7 ,"2,492.1 ","34,717.2 "
,,,Total,,,51,63,"2,031.0 ","2,823.2 ","2,517.6 ",151.0 ,133.6 ,"2,543.3 ","35,257.3 "
CA,ATC / Vancom,,,,,,,,,,,,,
,,9170,D,DR,PT,198,198,0.0 ,"7,139.2 ","5,937.5 ",471.2 ,412.3 ,661.4 ,"5,957.5 "
CA,Central Contra Costa Transit Authority (County Connection),,,,,,,,,,,,,
,,9078,B,DR,PT,42,44,0.0 ,"1,387.4 ","1,203.6 ",80.8 ,69.1 ,125.6 ,980.4 
,,9078,B,MB,DO,107,112,"3,880.6 ","4,711.5 ","3,861.9 ",331.5 ,294.2 ,"5,279.1 ","25,183.1 "
,,,Total,,,149,156,"3,880.6 ","6,098.9 ","5,065.5 ",412.3 ,363.3 ,"5,404.7 ","26,163.5 "
CA,Chico Area Transit System City of Chico (CATS),,,,,,,,,,,,,
,,9127,,MB,PT,14,18,431.9 ,539.9 ,431.9 ,41.1 ,38.5 ,852.1 ,"2,769.4 "
CA,City of Alameda Ferry Services,,,,,,,,,,,,,
,,9150,B,FB,PT,3,3,63.2 ,68.6 ,63.2 ,7.6 ,7.2 ,573.2 ,"4,038.1 "
CA,City of Arcadia Transit,,,,,,,,,,,,,
,,9044,B,DR,PT,18,18,0.0 ,403.3 ,363.8 ,32.1 ,29.5 ,162.5 ,536.3 
CA,City of Commerce Municipal Buslines (CBL),,,,,,,,,,,,,
,,9043,A,DR,DO,3,0,0.0 ,63.8 ,60.2 ,4.4 ,4.0 ,7.0 ,38.8 
,,9043,A,MB,DO,6,6,245.5 ,245.5 ,243.0 ,19.4 ,18.0 ,819.3 ,"3,920.6 "
,,,Total,,,9,6,245.5 ,309.3 ,303.2 ,23.8 ,22.0 ,826.3 ,"3,959.4 "
CA,City of Corona Dial-A-Ride,,,,,,,,,,,,,
,,9052,B,DR,PT,7,9,0.0 ,254.1 ,235.3 ,16.6 ,15.1 ,66.0 ,309.1 
,,9052,B,MB,PT,4,5,178.9 ,185.7 ,178.9 ,13.6 ,12.2 ,43.4 ,0.0 
,,,Total,,,11,14,178.9 ,439.8 ,414.3 ,30.2 ,27.3 ,109.4 ,309.1 
CA,"City of Fairfield, Fairfield Transit System (FST)",,,,,,,,,,,,,
,,9092,B,DR,PT,3,5,0.0 ,115.0 ,104.7 ,7.9 ,7.3 ,18.8 ,114.4 
,,9092,B,MB,PT,18,34,856.6 ,901.8 ,856.6 ,51.4 ,48.6 ,945.6 ,"3,687.9 "
,,,Total,,,21,39,856.6 ,"1,016.9 ",961.3 ,59.3 ,55.9 ,964.4 ,"3,802.3 "
CA,City of Gardena Transportation Department (GMBL),,,,,,,,,,,,,
,,9042,B,DR,PT,8,10,0.0 ,106.6 ,95.4 ,13.9 ,11.8 ,31.9 ,111.8 
,,9042,B,MB,DO,40,50,"1,591.1 ","1,621.3 ","1,591.1 ",117.2 ,112.6 ,"5,123.7 ","18,722.6 "
,,,Total,,,48,60,"1,591.1 ","1,727.9 ","1,686.6 ",131.1 ,124.4 ,"5,155.6 ","18,834.4 "
CA,City of La Mirada Transit (LMT),,,,,,,,,,,,,
,,9024,A,DR,DO,13,13,0.0 ,173.1 ,156.2 ,11.7 ,11.0 ,78.0 ,343.5 
CA,City of Lodi - Transit Division,,,,,,,,,,,,,
,,9175,B,DR,PT,15,15,0.0 ,278.7 ,268.1 ,27.4 ,27.1 ,95.7 ,239.3 
,,9175,B,MB,PT,6,6,281.5 ,286.0 ,281.5 ,22.6 ,22.1 ,430.5 ,"1,339.2 "
,,,Total,,,21,21,281.5 ,564.8 ,549.6 ,50.0 ,49.2 ,526.3 ,"1,578.5 "
CA,City of Lompoc-Lompoc Transit (COLT),,,,,,,,,,,,,
,,9149,B,DR,PT,2,3,0.0 ,65.0 ,61.8 ,6.5 ,6.1 ,18.1 ,59.8 
,,9149,B,MB,PT,8,13,302.7 ,319.8 ,302.7 ,18.8 ,17.6 ,197.6 ,"5,402.1 "
,,,Total,,,10,16,302.7 ,384.8 ,364.5 ,25.2 ,23.7 ,215.7 ,"5,461.9 "
CA,City of Los Angeles Department of Transportation (LADOT),,,,,,,,,,,,,
,,9147,B,DR,PT,149,176,0.0 ,"4,755.6 ","4,310.4 ",327.9 ,290.2 ,"1,142.7 ","5,128.5 "
,,9147,B,MB,PT,228,256,"6,246.1 ","8,626.5 ","6,246.1 ",708.8 ,540.2 ,"21,620.3 ","52,475.2 "
,,,Total,,,377,432,"6,246.1 ","13,382.1 ","10,556.5 ","1,036.7 ",830.3 ,"22,763.0 ","57,603.6 "
CA,City of Riverside Special Transportation,,,,,,,,,,,,,
,,9086,B,DR,DO,19,19,0.0 ,669.9 ,605.6 ,39.5 ,35.0 ,147.2 ,669.9 
CA,City of San Luis Obispo (SLO Transit),,,,,,,,,,,,,
,,9156,B,MB,PT,11,11,394.7 ,414.5 ,394.7 ,38.1 ,36.6 ,721.5 ,"6,162.0 "
CA,City of Santa Rosa,,,,,,,,,,,,,
,,9017,B,DR,PT,8,23,0.0 ,155.9 ,98.7 ,20.6 ,15.1 ,35.6 ,167.0 
,,9017,B,MB,DO,22,29,988.3 ,995.1 ,987.5 ,79.8 ,79.4 ,"2,464.3 ","6,974.0 "
,,,Total,,,30,52,988.3 ,"1,151.0 ","1,086.2 ",100.4 ,94.5 ,"2,499.9 ","7,141.1 "
CA,City of Union City Transit Division (UCT),,,,,,,,,,,,,
,,9161,B,DR,PT,5,5,0.0 ,56.2 ,51.5 ,5.3 ,5.0 ,8.6 ,19.1 
,,9161,B,MB,PT,15,15,498.8 ,529.8 ,500.3 ,39.5 ,37.8 ,477.1 ,"1,989.5 "
,,,Total,,,20,20,498.8 ,586.0 ,551.8 ,44.7 ,42.8 ,485.7 ,"2,008.6 "
CA,"City of Vallejo Transportation Program (Vallejo Transit, Baylink)",,,,,,,,,,,,,
,,9028,B,DR,PT,10,12,0.0 ,305.2 ,281.2 ,18.6 ,17.4 ,42.6 ,392.0 
,,9028,B,FB,PT,2,3,218.6 ,220.0 ,211.4 ,7.8 ,7.6 ,709.8 ,"18,384.0 "
,,9028,B,MB,PT,44,67,"2,446.7 ","2,525.6 ","2,281.7 ",130.5 ,113.2 ,"2,839.8 ","17,109.5 "
,,,Total,,,56,82,"2,665.3 ","3,050.8 ","2,774.4 ",157.0 ,138.1 ,"3,592.3 ","35,885.4 "
CA,City of Visalia - Visalia City Coach (VCC),,,,,,,,,,,,,
,,9091,B,DR,PT,6,6,0.0 ,144.6 ,134.5 ,11.3 ,9.2 ,33.9 ,199.9 
,,9091,B,MB,PT,19,19,794.1 ,818.3 ,794.1 ,58.5 ,56.4 ,"1,238.8 ","5,271.3 "
,,,Total,,,25,25,794.1 ,962.9 ,928.6 ,69.8 ,65.6 ,"1,272.7 ","5,471.3 "
CA,County of San Diego Transit System (CTS),,,,,,,,,,,,,
,,9188,B,DR,PT,48,59,0.0 ,"2,033.5 ","1,700.2 ",127.0 ,110.7 ,384.5 ,"2,572.4 "
,,9188,B,MB,PT,72,102,"3,267.0 ","3,707.8 ","3,246.6 ",250.4 ,213.1 ,"3,991.9 ","21,041.5 "
,,,Total,,,120,161,"3,267.0 ","5,741.3 ","4,946.8 ",377.4 ,323.9 ,"4,376.5 ","23,613.9 "
CA,Culver City Municipal Bus Lines (CityBus),,,,,,,,,,,,,
,,9039,A,MB,DO,32,44,"1,391.4 ","1,437.7 ","1,389.8 ",126.6 ,124.9 ,"5,247.4 ","16,261.4 "
CA,Eastern Contra Costa Transit Authority (Tri Delta Transit),,,,,,,,,,,,,
,,9162,B,DR,PT,13,16,0.0 ,536.3 ,466.7 ,35.9 ,34.4 ,106.4 ,656.8 
,,9162,B,MB,PT,45,56,"2,058.5 ","2,324.6 ","2,042.0 ",158.5 ,153.7 ,"2,258.4 ","13,618.2 "
,,,Total,,,58,72,"2,058.5 ","2,860.8 ","2,508.7 ",194.4 ,188.0 ,"2,364.8 ","14,275.0 "
CA,Foothill Transit,,,,,,,,,,,,,
,,9146,B,MB,PT,259,299,"14,008.8 ","16,433.5 ","11,539.4 ",820.1 ,646.9 ,"16,761.9 ","131,176.8 "
CA,Fresno Area Express (FAX),,,,,,,,,,,,,
,,9027,A,DR,PT,22,25,0.0 ,920.7 ,774.7 ,63.9 ,48.8 ,103.0 ,805.6 
,,9027,A,MB,DO,83,103,"4,044.8 ","4,290.0 ","4,038.9 ",341.0 ,306.3 ,"11,905.2 ","37,238.7 "
,,,Total,,,105,128,"4,044.8 ","5,210.7 ","4,813.7 ",404.9 ,355.2 ,"12,008.2 ","38,044.3 "
CA,Golden Empire Transit District (GET),,,,,,,,,,,,,
,,9004,A,DR,DO,12,13,0.0 ,452.5 ,411.8 ,27.0 ,24.6 ,56.3 ,420.0 
,,9004,A,MB,DO,65,79,"3,366.3 ","3,575.2 ","3,354.0 ",268.6 ,260.5 ,"7,157.4 ","31,180.8 "
,,,Total,,,77,92,"3,366.3 ","4,027.7 ","3,765.8 ",295.6 ,285.0 ,"7,213.7 ","31,600.8 "
CA,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",,,,,,,,,,,,,
,,9016,B,DR,PT,26,46,0.0 ,"1,036.1 ",883.8 ,57.7 ,48.8 ,85.7 ,691.2 
,,9016,B,FB,DO,5,5,187.8 ,192.6 ,187.8 ,14.8 ,14.5 ,"1,652.4 ","19,407.5 "
,,9016,B,MB,DO,223,268,"7,911.7 ","9,503.2 ","7,891.3 ",484.5 ,427.7 ,"8,937.8 ","105,768.4 "
,,9016,B,MB,PT,10,10,197.2 ,326.8 ,196.6 ,14.5 ,8.8 ,123.5 ,"3,847.3 "
,,,Total,,,264,329,"8,296.7 ","11,058.6 ","9,159.5 ",571.5 ,499.8 ,"10,799.5 ","129,714.5 "
CA,Laguna Beach Municipal Transit (CLB),,,,,,,,,,,,,
,,9119,A,JT,DO,4,8,0.0 ,24.1 ,24.1 ,4.7 ,4.7 ,128.9 ,203.7 
,,9119,A,MB,DO,8,4,121.9 ,121.9 ,121.9 ,8.9 ,8.9 ,42.1 ,222.3 
,,,Total,,,12,12,121.9 ,146.0 ,146.0 ,13.6 ,13.6 ,171.0 ,426.1 
CA,Livermore/Amador Valley Transit Authority (LAVTA),,,,,,,,,,,,,
,,9144,B,DR,PT,10,14,0.0 ,320.0 ,287.6 ,23.1 ,21.4 ,44.9 ,348.7 
,,9144,B,MB,PT,60,67,"1,956.1 ","2,287.1 ","1,956.1 ",152.7 ,140.6 ,"2,069.9 ","9,653.2 "
,,,Total,,,70,81,"1,956.1 ","2,607.1 ","2,243.8 ",175.8 ,161.9 ,"2,114.8 ","10,001.8 "
CA,Long Beach Public Transportation Company (LBT),,,,,,,,,,,,,
,,9023,B,DR,PT,18,18,0.0 ,373.9 ,366.6 ,16.5 ,16.2 ,91.5 ,435.5 
,,9023,B,MB,DO,159,224,"7,076.9 ","7,649.6 ","7,091.6 ",673.7 ,645.2 ,"25,478.0 ","69,543.4 "
,,,Total,,,177,242,"7,076.9 ","8,023.5 ","7,458.2 ",690.2 ,661.4 ,"25,569.4 ","69,979.0 "
CA,Los Angeles County Metropolitan Transportation Authority (LACMTA),,,,,,,,,,,,,
,,9154,A,HR,DO,70,102,"5,978.3 ","6,143.4 ","5,957.3 ",283.0 ,260.0 ,"34,551.2 ","163,931.1 "
,,9154,A,LR,DO,69,102,"5,814.6 ","5,843.8 ","5,782.0 ",256.4 ,247.8 ,"32,605.5 ","228,779.7 "
,,9154,A,MB,DO,"1,925","2,362","82,495.5 ","95,953.5 ","81,663.3 ","7,243.3 ","6,683.3 ","366,292.0 ","1,422,325.7 "
,,9154,A,MB,PT,142,162,"7,137.0 ","8,444.2 ","7,045.8 ",575.4 ,520.3 ,"11,747.6 ","39,212.0 "
,,,Total,,,"2,206","2,728","101,425.4 ","116,384.8 ","100,448.3 ","8,358.0 ","7,711.4 ","445,196.3 ","1,854,248.6 "
CA,Los Angeles County Metropolitan Transportation Authority (LACMTA),,,,,,,,,,,,,
,,9166,B,DR,PT,158,195,0.0 ,"3,257.1 ","3,055.0 ",271.1 ,243.8 ,"1,040.2 ","3,751.8 "
,,9166,B,MB,PT,109,119,"3,327.4 ","3,560.9 ","3,322.6 ",331.1 ,299.0 ,"7,394.0 ","17,626.2 "
,,,Total,,,267,314,"3,327.4 ","6,818.1 ","6,377.5 ",602.1 ,542.8 ,"8,434.1 ","21,378.0 "
CA,Merced County Transit (The Bus),,,,,,,,,,,,,
,,9173,B,DR,PT,12,26,0.0 ,462.4 ,440.9 ,26.0 ,25.3 ,153.3 ,950.4 
,,9173,B,MB,PT,18,27,"1,011.2 ","1,026.2 ",979.4 ,54.2 ,48.9 ,953.6 ,"2,088.4 "
,,,Total,,,30,53,"1,011.2 ","1,488.6 ","1,420.4 ",80.2 ,74.2 ,"1,106.9 ","3,038.8 "
CA,Modesto Area Express (MAX),,,,,,,,,,,,,
,,9007,B,DR,PT,12,12,0.0 ,491.0 ,491.0 ,36.7 ,36.7 ,107.9 ,668.9 
,,9007,B,MB,PT,46,46,"1,538.9 ","1,573.5 ","1,537.7 ",114.2 ,112.4 ,"3,440.4 ","14,094.4 "
,,,Total,,,58,58,"1,538.9 ","2,064.5 ","2,028.7 ",150.8 ,149.1 ,"3,548.3 ","14,763.2 "
CA,Montebello Bus Lines (MBL),,,,,,,,,,,,,
,,9041,B,DR,DO,4,5,0.0 ,75.2 ,70.0 ,8.6 ,8.1 ,21.9 ,55.3 
,,9041,B,MB,DO,55,64,"2,571.6 ","2,627.1 ","2,534.0 ",223.3 ,218.2 ,"8,630.6 ","26,064.5 "
,,9041,B,MB,PT,4,4,58.7 ,68.4 ,58.7 ,6.1 ,5.2 ,77.8 ,355.2 
,,,Total,,,63,73,"2,630.3 ","2,770.8 ","2,662.7 ",238.0 ,231.5 ,"8,730.3 ","26,474.9 "
CA,Monterey-Salinas Transit (MST),,,,,,,,,,,,,
,,9062,B,DR,PT,25,25,0.0 ,768.1 ,722.0 ,37.8 ,35.8 ,108.2 ,942.7 
,,9062,B,MB,DO,77,77,"2,823.1 ","2,902.4 ","2,823.1 ",208.6 ,192.9 ,"4,698.1 ","24,932.2 "
,,9062,B,MB,PT,7,7,194.4 ,210.9 ,194.4 ,12.9 ,11.9 ,63.7 ,410.7 
,,,Total,,,109,109,"3,017.5 ","3,881.4 ","3,739.4 ",259.2 ,240.6 ,"4,870.1 ","26,285.6 "
CA,Napa County Transportation Planning Agency (NCTPA),,,,,,,,,,,,,
,,9088,B,DR,PT,15,15,0.0 ,290.7 ,254.7 ,21.7 ,20.9 ,45.8 ,288.7 
,,9088,B,MB,PT,18,26,740.4 ,755.9 ,741.6 ,49.4 ,46.9 ,886.1 ,"3,659.8 "
,,,Total,,,33,41,740.4 ,"1,046.6 ",996.2 ,71.1 ,67.8 ,932.0 ,"3,948.5 "
CA,National City Transit (NCT),,,,,,,,,,,,,
,,9189,B,MB,PT,9,16,450.0 ,466.8 ,450.0 ,43.3 ,41.6 ,"1,891.5 ","4,937.6 "
CA,North San Diego County Transit Development Board (NCTD),,,,,,,,,,,,,
,,9030,B,CR,PT,28,30,"1,194.8 ","1,254.2 ","1,194.4 ",33.7 ,28.2 ,"1,281.1 ","36,371.1 "
,,9030,B,DR,PT,37,39,0.0 ,"1,001.4 ",896.1 ,61.9 ,54.8 ,160.8 ,"1,101.5 "
,,9030,B,MB,DO,154,154,"8,378.8 ","8,525.8 ","7,921.4 ",511.5 ,486.3 ,"10,456.5 ","62,634.5 "
,,,Total,,,219,223,"9,573.6 ","10,781.4 ","10,011.9 ",607.1 ,569.2 ,"11,898.4 ","100,107.1 "
CA,Norwalk Transit System (NTS),,,,,,,,,,,,,
,,9022,B,DR,DO,4,7,0.0 ,70.7 ,64.3 ,7.6 ,6.9 ,20.3 ,52.2 
,,9022,B,DR,PT,1,1,0.0 ,0.2 ,0.2 ,0.0 ,0.0 ,0.1 ,0.2 
,,9022,B,MB,DO,17,27,942.4 ,954.4 ,941.2 ,69.3 ,67.2 ,"1,631.7 ","5,883.8 "
,,,Total,,,22,35,942.4 ,"1,025.3 ","1,005.7 ",76.9 ,74.1 ,"1,652.1 ","5,936.2 "
CA,Omnitrans (OMNI),,,,,,,,,,,,,
,,9029,B,DR,PT,85,100,0.0 ,"3,286.7 ","2,629.4 ",212.9 ,174.9 ,506.5 ,"4,813.6 "
,,9029,B,MB,DO,139,171,"7,167.3 ","7,848.1 ","7,086.6 ",633.5 ,605.3 ,"16,381.2 ","69,888.6 "
,,9029,B,MB,PT,5,8,473.4 ,549.5 ,505.5 ,23.2 ,21.8 ,261.8 ,"3,660.1 "
,,,Total,,,229,279,"7,640.7 ","11,684.2 ","10,221.5 ",869.7 ,802.0 ,"17,149.5 ","78,362.3 "
CA,Orange County Transportation Authority (OCTA),,,,,,,,,,,,,
,,9036,B,DR,PT,207,218,0.0 ,"8,011.8 ","5,702.5 ",533.0 ,424.4 ,778.3 ,"7,315.9 "
,,9036,B,MB,DO,441,529,"21,691.7 ","25,402.7 ","21,572.9 ","1,714.2 ","1,566.7 ","63,279.2 ","222,565.2 "
,,9036,B,MB,PT,53,63,"1,492.5 ","2,286.3 ","1,492.5 ",142.0 ,107.1 ,745.6 ,"3,249.1 "
,,,Total,,,701,810,"23,184.2 ","35,700.7 ","28,767.9 ","2,389.2 ","2,098.2 ","64,803.1 ","233,130.2 "
CA,Peninsula Corridor Joint Powers Board (PCJPB),,,,,,,,,,,,,
,,9134,B,CR,PT,96,130,"5,454.3 ","5,611.6 ","5,571.2 ",191.1 ,188.8 ,"8,137.6 ","166,647.9 "
CA,Redding Area Bus Authority (RABA),,,,,,,,,,,,,
