State,Name,ID,Org Type,Mode,TOS, VOMS,Service Supplied (in Thousands),,,,,,,,,,,,Unlinked Passenger Trips,,,
,,,,Total,,95,116,,"3,077.8 ",,"4,324.8 ",,"3,935.0 ",,302.0 ,,283.8 ,,"4,181.4 ",,"20,905.7 ",
AL,"City of Huntsville, Alabama - Public Transportation Division",,,,,,,,,,,,,,,,,,,,,
,,4071,B,DR,DO,14,17,,0.0 ,,436.3 ,Q,399.5 ,Q,31.3 ,Q,29.8 ,Q,81.8 ,Q,548.5 ,Q
,,4071,B,DR,PT,6,9,,0.0 ,,71.1 ,,56.1 ,,13.1 ,,11.6 ,,57.4 ,,279.5 ,
,,4071,B,MB,DO,11,17,,575.7 ,,650.4 ,,575.7 ,,35.9 ,,33.8 ,,272.1 ,,"1,408.2 ",
,,,,Total,,31,43,,575.7 ,,"1,157.8 ",,"1,031.4 ",,80.2 ,,75.2 ,,411.2 ,,"2,236.2 ",
AL,Lee-Russell Council of Governments (LRCOG),,,,,,,,,,,,,,,,,,,,,
,,4073,A,DR,DO,21,21,,0.0 ,,409.2 ,Q,156.2 ,,10.4 ,Q,7.6 ,,44.2 ,,141.2 ,
,,4073,A,MB,DO,3,3,,127.5 ,,187.2 ,Q,127.5 ,Q,11.4 ,Q,10.7 ,,42.7 ,,116.6 ,Q
,,,,Total,,24,24,,127.5 ,,596.4 ,,283.7 ,,21.8 ,,18.3 ,,86.9 ,,257.8 ,
AL,Montgomery Area Transit System (MATS),,,,,,,,,,,,,,,,,,,,,
,,4044,B,DR,DO,16,20,,0.0 ,,455.0 ,,422.7 ,,29.2 ,,27.7 ,,65.7 ,,406.3 ,
,,4044,B,MB,DO,19,19,,787.3 ,,784.2 ,,778.8 ,,52.2 ,,51.9 ,,577.2 ,,"2,607.7 ",
,,,,Total,,35,39,,787.3 ,,"1,239.2 ",,"1,201.5 ",,81.3 ,,79.6 ,,643.0 ,,"3,014.0 ",
AL,Northwest Alabama Council of Local Governments (NACOLG),,,,,,,,,,,,,,,,,,,,,
,,4068,A,DR,DO,52,52,,0.0 ,,548.6 ,,512.0 ,,439.4 ,,273.5 ,,188.8 ,,660.7 ,
AL,THE WAVE TRANSIT SYSTEM (MTS),,,,,,,,,,,,,,,,,,,,,
,,4043,B,DR,DO,10,12,,0.0 ,,236.4 ,,217.5 ,,27.6 ,,26.1 ,,68.5 ,,557.3 ,W
,,4043,B,DR,PT,17,19,,0.0 ,,384.8 ,,356.2 ,,40.8 ,,38.3 ,,30.7 ,,247.1 ,W
,,4043,B,MB,DO,26,29,,"1,349.7 ",,"1,461.0 ",,"1,370.7 ",,100.9 ,,96.7 ,,860.2 ,,"5,232.8 ",W
,,,,Total,,53,60,,"1,349.7 ",,"2,082.2 ",,"1,944.4 ",,169.3 ,,161.0 ,,959.4 ,,"6,037.2 ",Q
AL,Tuscaloosa County Parking and Transit Authority (TMT),,,,,,,,,,,,,,,,,,,,,
,,4045,A,DR,DO,5,7,,0.0 ,,120.8 ,,108.3 ,,10.7 ,Q,10.0 ,Q,16.9 ,,82.4 ,
,,4045,A,MB,DO,9,10,,239.0 ,,260.5 ,Q,239.5 ,Q,27.9 ,Q,22.7 ,Q,127.2 ,,890.7 ,
,,,,Total,,14,17,,239.0 ,,381.2 ,,347.9 ,,38.6 ,,32.6 ,,144.2 ,,973.1 ,
AL,Wiregrass Transit Authority,,,,,,,,,,,,,,,,,,,,,
,,4103,A,DR,DO,15,20,,0.0 ,,611.2 ,,403.4 ,,42.3 ,,17.7 ,,137.3 ,,403.4 ,
AR,Central Arkansas Transit Authority (CATA),,,,,,,,,,,,,,,,,,,,,
,,6033,A,DR,DO,17,17,,0.0 ,,597.0 ,,506.5 ,,39.2 ,,30.8 ,,56.5 ,,465.1 ,
,,6033,A,LR,DO,2,3,,6.4 ,,6.4 ,,6.4 ,,1.3 ,,1.3 ,,44.5 ,,62.7 ,
,,6033,A,MB,DO,45,70,,"2,241.7 ",,"2,376.0 ",,"2,243.0 ",,163.3 ,,157.3 ,,"1,954.4 ",,"7,284.2 ",
,,,,Total,,64,90,,"2,248.1 ",,"2,979.4 ",,"2,755.8 ",,203.7 ,,189.4 ,,"2,055.4 ",,"7,812.0 ",
AR,Fort Smith Transit (FST),,,,,,,,,,,,,,,,,,,,,
,,6086,A,DR,DO,5,9,,0.0 ,,224.8 ,,200.5 ,,13.6 ,,12.6 ,,54.9 ,,356.4 ,
,,6086,A,MB,DO,8,17,,324.3 ,,337.2 ,,300.7 ,,24.1 ,,22.6 ,,169.4 ,,660.6 ,
,,,,Total,,13,26,,324.3 ,,562.0 ,,501.1 ,,37.8 ,,35.2 ,,224.2 ,,"1,017.1 ",
AR,Ozark Regional Transit (ORT),,,,,,,,,,,,,,,,,,,,,
,,6072,A,DR,DO,32,23,,0.0 ,,633.2 ,Q,39.4 ,Q,522.2 ,Q,33.9 ,Q,94.9 ,Q,"1,161.5 ",Q
,,6072,A,MB,DO,5,2,,18.0 ,Q,19.8 ,N,18.0 ,Q,1.4 ,Q,1.2 ,Q,12.0 ,N,117.6 ,Q
,,,,Total,,37,25,,18.0 ,,653.0 ,Q,57.4 ,,523.6 ,,35.1 ,,106.9 ,Q,"1,279.1 ",
AR,"University of Arkansas, Fayetteville (Razorback Transit)",,,,,,,,,,,,,,,,,,,,,
,,6062,A,DR,DO,3,4,,0.0 ,,32.6 ,,21.5 ,,6.0 ,,4.8 ,,6.0 ,,14.5 ,
,,6062,A,MB,DO,15,20,,252.4 ,,282.6 ,,265.7 ,,26.0 ,,25.5 ,,"1,315.4 ",,"1,578.5 ",
,,,,Total,,18,24,,252.4 ,,315.2 ,,287.2 ,,32.1 ,,30.3 ,,"1,321.4 ",,"1,593.0 ",
AZ,City of Glendale Transit,,,,,,,,,,,,,,,,,,,,,
,,9034,B,DR,DO,14,18,,0.0 ,,419.5 ,,387.5 ,,30.7 ,Q,26.3 ,,86.1 ,,465.1 ,
,,9034,B,MB,DO,5,8,,224.4 ,,229.0 ,Q,224.0 ,,15.7 ,Q,14.7 ,,130.5 ,,522.1 ,
,,,,Total,,19,26,,224.4 ,,648.4 ,,611.5 ,,46.3 ,,40.9 ,,216.6 ,,987.2 ,
AZ,City of Mesa (COM),,,,,,,,,,,,,,,,,,,,,
,,9129,B,MB,PT,28,39,,"1,482.3 ",,"1,790.4 ",,"1,479.8 ",,130.8 ,,119.0 ,,"2,010.8 ",,"4,504.4 ",
AZ,City of Phoenix Public Transit Department (Valley Metro),,,,,,,,,,,,,,,,,,,,,
,,9032,B,DR,PT,162,183,,0.0 ,,"5,224.4 ",,"4,441.9 ",,372.7 ,,313.7 ,,523.5 ,,"4,292.8 ",
,,9032,B,MB,PT,410,490,,"17,393.3 ",,"20,518.1 ",,"17,535.0 ",,"1,614.4 ",,"1,153.0 ",,"40,813.7 ",,"156,559.1 ",
,,,,Total,,572,673,,"17,393.3 ",,"25,742.4 ",,"21,976.8 ",,"1,987.1 ",,"1,466.8 ",,"41,337.3 ",,"160,851.9 ",
AZ,City of Tempe Transportation Planning and Transit Division (TIM - Tempe in Motion),,,,,,,,,,,,,,,,,,,,,
,,9172,B,MB,PT,76,106,,"4,316.0 ",,"5,120.7 ",,"4,306.6 ",,410.9 ,,354.8 ,,"6,608.4 ",,"19,972.1 ",
AZ,City of Tucson (COT),,,,,,,,,,,,,,,,,,,,,
,,9033,A,DR,DO,76,101,,0.0 ,,"2,600.8 ",,"2,171.0 ",,211.1 ,,181.6 ,,342.3 ,,"3,101.7 ",
,,9033,A,MB,DO,155,189,,"6,949.0 ",,"7,830.7 ",,"6,942.5 ",,572.0 ,,536.9 ,,"16,511.0 ",,"59,638.6 ",
,,,,Total,,231,290,,"6,949.0 ",,"10,431.5 ",,"9,113.5 ",,783.2 ,,718.5 ,,"16,853.3 ",,"62,740.3 ",
AZ,Coconino County Transportation Services,,,,,,,,,,,,,,,,,,,,,
,,9180,A,DR,DO,4,9,,0.0 ,,96.7 ,,86.2 ,,10.1 ,,9.0 ,,22.8 ,,118.8 ,
,,9180,A,MB,DO,7,13,,352.6 ,,373.4 ,,352.6 ,,25.2 ,,24.0 ,,360.8 ,,469.1 ,
,,,,Total,,11,22,,352.6 ,,470.1 ,,438.8 ,,35.3 ,,33.1 ,,383.7 ,,587.9 ,
AZ,Maricopa County Special Transportation Services,,,,,,,,,,,,,,,,,,,,,
,,9132,B,DR,DO,35,66,,0.0 ,,744.1 ,,598.8 ,,64.9 ,,55.9 ,,82.3 ,,477.0 ,
,,9132,B,DR,PT,35,66,,0.0 ,,162.4 ,,131.4 ,,13.6 ,,11.9 ,,19.4 ,,109.3 ,
,,,,Total,,70,132,,0.0 ,,906.5 ,,730.2 ,,78.5 ,,67.8 ,,101.7 ,,586.3 ,
AZ,Peoria Transit,,,,,,,,,,,,,,,,,,,,,
,,9140,A,DR,DO,7,9,,0.0 ,,159.7 ,,144.6 ,,8.4 ,,7.4 ,,29.3 ,,173.7 ,
AZ,"Phoenix - VPSI, Incorporated",,,,,,,,,,,,,,,,,,,,,
,,9169,E,VP,DO,213,250,,0.0 ,,"3,621.9 ",,"3,621.9 ",,88.6 ,,88.6 ,,623.4 ,,"18,324.1 ",
AZ,"Regional Public Transportation Authority, dba: Valley Metro (RPTA)",,,,,,,,,,,,,,,,,,,,,
,,9136,B,DR,PT,51,62,,0.0 ,,"1,630.9 ",,"1,356.3 ",,145.0 ,,111.5 ,,222.7 ,,"1,579.9 ",
,,9136,B,MB,PT,63,80,,"3,217.2 ",,"3,929.1 ",,"3,217.2 ",,288.4 ,,236.2 ,,"4,122.9 ",,"17,068.7 ",
,,,,Total,,114,142,,"3,217.2 ",,"5,560.0 ",,"4,573.5 ",,433.4 ,,347.7 ,,"4,345.6 ",,"18,648.6 ",
AZ,"Sun Cities Area Transit System, Inc. (SCAT)",,,,,,,,,,,,,,,,,,,,,
,,9135,D,DR,DO,11,13,,0.0 ,,252.7 ,,229.9 ,,21.7 ,,20.6 ,,61.1 ,,226.1 ,
AZ,Surprise Dial-A-Ride Transit System,,,,,,,,,,,,,,,,,,,,,
,,9137,A,DR,DO,3,4,,0.0 ,,59.7 ,,50.5 ,,5.0 ,,3.8 ,,0.0 ,N,0.0 ,W
AZ,Yuma Metropolitan Planning Organization (YMPO),,,,,,,,,,,,,,,,,,,,,
,,9192,B,DR,PT,9,9,,0.0 ,,143.2 ,,136.6 ,,24.9 ,,19.9 ,,61.9 ,,0.0 ,D
,,9192,B,MB,PT,5,5,,181.2 ,,194.7 ,,181.2 ,,14.7 ,,14.2 ,,37.6 ,,610.3 ,
,,,,Total,,14,14,,181.2 ,,337.9 ,,317.8 ,,39.6 ,,34.1 ,,99.6 ,,610.3 ,Q
CA, Sonoma County Transit,,,,,,,,,,,,,,,,,,,,,
,,9089,B,DR,PT,21,21,,0.0 ,,588.9 ,,458.5 ,,37.3 ,,29.9 ,,33.3 ,,367.7 ,
,,9089,B,MB,PT,39,53,,"1,589.3 ",,"2,066.1 ",,"1,581.4 ",,109.5 ,,89.6 ,,"1,313.3 ",,"10,523.7 ",
,,,,Total,,60,74,,"1,589.3 ",,"2,655.0 ",,"2,039.9 ",,146.8 ,,119.5 ,,"1,346.6 ",,"10,891.4 ",
CA," University of California, Davis (Unitrans)",,,,,,,,,,,,,,,,,,,,,
,,9142,A,MB,DO,35,40,,773.2 ,,799.4 ,,752.2 ,,73.3 ,,70.2 ,,"3,450.1 ",,"7,125.7 ",
CA,Access Services Incorporated (ASI),,,,,,,,,,,,,,,,,,,,,
,,9157,E,DR,PT,530,571,,0.0 ,,"28,929.0 ",,"24,421.6 ",,"1,444.3 ",,"1,236.8 ",,"2,339.5 ",,"27,432.1 ",
CA,Alameda-Contra Costa Transit District (AC Transit),,,,,,,,,,,,,,,,,,,,,
,,9014,B,MB,DO,624,662,,"22,120.9 ",,"25,635.9 ",,"22,148.2 ",,"2,063.9 ",,"1,900.5 ",,"64,455.6 ",,"210,268.5 ",
,,9014,B,MB,PT,9,12,,227.0 ,,282.3 ,,216.0 ,,16.1 ,,14.0 ,,207.8 ,,"2,396.0 ",
,,,,Total,,633,674,,"22,347.8 ",,"25,918.2 ",,"22,364.2 ",,"2,080.0 ",,"1,914.5 ",,"64,663.4 ",,"212,664.5 ",
CA,Altamont Commuter Express (ACE),,,,,,,,,,,,,,,,,,,,,
,,9182,B,CR,PT,18,20,,749.3 ,,749.3 ,,749.3 ,,18.5 ,,18.5 ,,616.0 ,,"29,519.9 ",
CA,Antelope Valley Transit Authority (AVTA),,,,,,,,,,,,,,,,,,,,,
,,9121,B,DR,PT,11,14,,0.0 ,,590.8 ,,516.5 ,,28.2 ,,25.5 ,,54.9 ,,604.2 ,
,,9121,B,MB,PT,49,60,,"2,343.7 ",,"2,636.8 ",,"2,358.6 ",,144.7 ,,128.7 ,,"2,681.9 ",Q,"37,632.5 ",Q
,,,,Total,,60,74,,"2,343.7 ",,"3,227.5 ",,"2,875.1 ",,173.0 ,,154.2 ,,"2,736.8 ",,"38,236.7 ",
CA,ATC / Vancom,,,,,,,,,,,,,,,,,,,,,
,,9170,,DR,PT,176,199,,0.0 ,,"7,128.6 ",,"5,941.3 ",,448.0 ,,395.1 ,,710.4 ,,"5,886.3 ",
CA,Central Contra Costa Transit Authority (County Connection),,,,,,,,,,,,,,,,,,,,,
,,9078,B,DR,PT,52,56,,0.0 ,,"1,470.2 ",,"1,223.7 ",,96.5 ,,79.0 ,,140.7 ,,"1,511.5 ",
,,9078,B,MB,DO,106,131,,"3,757.7 ",,"4,546.7 ",,"3,752.8 ",,320.1 ,,285.3 ,,"4,474.5 ",,"17,878.5 ",
,,,,Total,,158,187,,"3,757.7 ",,"6,017.0 ",,"4,976.4 ",,416.6 ,,364.2 ,,"4,615.3 ",,"19,390.0 ",
CA,Chico Area Transit System City of Chico (CATS),,,,,,,,,,,,,,,,,,,,,
,,9127,B,DR,PT,9,9,,0.0 ,,266.4 ,,238.5 ,,20.9 ,,19.4 ,,59.2 ,,0.0 ,W
,,9127,B,MB,PT,20,20,,551.6 ,,582.2 ,,551.6 ,,47.9 ,,44.9 ,,866.8 ,,"2,765.4 ",
,,,,Total,,29,29,,551.6 ,,848.5 ,,790.1 ,,68.8 ,,64.2 ,,926.0 ,,"2,765.4 ",Q
CA,Chula Vista Transit (CVT),,,,,,,,,,,,,,,,,,,,,
,,9193,B,MB,PT,29,35,,"1,413.4 ",,"1,530.8 ",,"1,412.2 ",,124.3 ,,111.2 ,,"3,158.3 ",,"10,460.0 ",
CA,City of Alameda Ferry Services,,,,,,,,,,,,,,,,,,,,,
,,9150,B,FB,PT,3,5,,80.3 ,,89.8 ,,80.3 ,,7.0 ,,6.5 ,,531.9 ,,"3,551.8 ",
CA,City of Arcadia Transit,,,,,,,,,,,,,,,,,,,,,
,,9044,B,DR,PT,18,18,,0.0 ,,364.2 ,,331.1 ,,31.7 ,,29.3 ,,159.3 ,,508.1 ,
CA,City of Commerce Municipal Buslines (CBL),,,,,,,,,,,,,,,,,,,,,
,,9043,A,DR,DO,5,5,,0.0 ,,71.1 ,,66.0 ,,4.7 ,,4.2 ,,7.5 ,,46.1 ,
,,9043,A,MB,DO,6,9,,244.5 ,,247.1 ,,244.5 ,,19.5 ,,18.1 ,,744.7 ,,"2,656.3 ",
,,,,Total,,11,14,,244.5 ,,318.2 ,,310.5 ,,24.2 ,,22.4 ,,752.2 ,,"2,702.5 ",
CA,City of Corona (Corona Dial-A-Ride),,,,,,,,,,,,,,,,,,,,,
,,9052,B,DR,PT,7,9,,0.0 ,,243.5 ,,224.5 ,,15.6 ,,14.7 ,,68.1 ,,318.9 ,
,,9052,B,MB,PT,4,5,,199.3 ,,211.6 ,,197.1 ,,17.2 ,,16.2 ,,142.1 ,,463.1 ,
,,,,Total,,11,14,,199.3 ,,455.1 ,,421.5 ,,32.8 ,,30.9 ,,210.2 ,,782.0 ,
CA,City of Fairfield - Fairfield-Suisun Transit (FST),,,,,,,,,,,,,,,,,,,,,
,,9092,B,DR,PT,4,5,,0.0 ,,109.7 ,,100.9 ,,9.2 ,,8.4 ,,19.7 ,,106.5 ,
,,9092,B,MB,PT,26,43,,937.6 ,,985.6 ,,937.6 ,,56.8 ,,53.6 ,,751.2 ,,"3,380.3 ",
,,,,Total,,30,48,,937.6 ,,"1,095.3 ",,"1,038.5 ",,66.1 ,,62.0 ,,770.8 ,,"3,486.8 ",
CA,City of Gardena Transportation Department (GMBL),,,,,,,,,,,,,,,,,,,,,
,,9042,B,DR,PT,8,10,,0.0 ,,94.7 ,,85.6 ,,14.9 ,,12.6 ,,31.1 ,,128.9 ,
,,9042,B,MB,DO,40,48,,"1,604.4 ",,"1,633.8 ",,"1,604.4 ",Q,117.7 ,Q,112.9 ,Q,"4,907.3 ",,"17,931.2 ",
,,,,Total,,48,58,,"1,604.4 ",,"1,728.5 ",,"1,690.0 ",,132.6 ,,125.5 ,,"4,938.4 ",,"18,060.2 ",
CA,City of La Mirada Transit (LMT),,,,,,,,,,,,,,,,,,,,,
,,9024,B,DR,PT,8,12,,0.0 ,,144.8 ,,133.4 ,,11.5 ,,10.6 ,,59.9 ,,170.2 ,
CA,City of Lodi - Transit Division,,,,,,,,,,,,,,,,,,,,,
,,9175,B,DR,PT,16,16,,0.0 ,,280.0 ,,274.1 ,,28.7 ,,28.4 ,,78.9 ,,211.2 ,
,,9175,B,MB,PT,9,9,,327.0 ,Q,333.5 ,Q,327.3 ,Q,24.1 ,Q,23.8 ,Q,414.6 ,,"1,053.5 ",
,,,,Total,,25,25,,327.0 ,,613.5 ,,601.4 ,,52.9 ,,52.2 ,,493.6 ,,"1,264.7 ",
CA,City of Lompoc - Lompoc Transit (COLT),,,,,,,,,,,,,,,,,,,,,
,,9149,B,DR,PT,2,3,,0.0 ,,73.9 ,,70.8 ,,7.1 ,,7.0 ,,22.1 ,,66.3 ,
,,9149,B,MB,PT,9,13,,341.5 ,,360.4 ,,341.5 ,,21.5 ,,20.8 ,,238.1 ,,"3,324.7 ",Q
,,,,Total,,11,16,,341.5 ,,434.3 ,,412.3 ,,28.6 ,,27.7 ,,260.2 ,,"3,391.0 ",
CA,City of Los Angeles Department of Transportation (LADOT),,,,,,,,,,,,,,,,,,,,,
,,9147,B,DR,PT,165,197,,0.0 ,,"5,051.5 ",,"4,635.2 ",,343.7 ,,312.5 ,,"1,344.3 ",,"5,227.9 ",
,,9147,B,MB,PT,223,273,,"7,198.7 ",,"9,554.6 ",,"7,199.7 ",,738.2 ,,630.9 ,,"28,368.9 ",,"77,876.6 ",
,,,,Total,,388,470,,"7,198.7 ",,"14,606.1 ",,"11,835.0 ",,"1,081.9 ",,943.5 ,,"29,713.2 ",,"83,104.6 ",
CA,City of Riverside Special Transportation (City of Riverside),,,,,,,,,,,,,,,,,,,,,
,,9086,A,DR,DO,20,20,,0.0 ,,669.9 ,Q,642.8 ,,42.3 ,Q,38.8 ,,157.8 ,,669.9 ,
CA,City of San Luis Obispo (SLO Transit),,,,,,,,,,,,,,,,,,,,,
,,9156,B,MB,PT,11,15,,394.0 ,,414.0 ,,394.0 ,,36.6 ,,35.0 ,,680.9 ,,"6,791.2 ",
CA,City of Santa Rosa (Santa Rosa CityBus),,,,,,,,,,,,,,,,,,,,,
,,9017,B,DR,PT,11,11,,0.0 ,,257.4 ,,225.5 ,,20.9 ,,18.4 ,,44.4 ,,0.0 ,W
,,9017,B,MB,DO,22,29,,"1,013.8 ",,"1,041.0 ",,"1,013.5 ",,83.4 ,,81.4 ,,"2,654.5 ",,"8,830.2 ",W
,,,,Total,,33,40,,"1,013.8 ",,"1,298.4 ",,"1,239.0 ",,104.3 ,,99.9 ,,"2,698.9 ",,"8,830.2 ",Q
CA,City of Union City Transit Division (UCT),,,,,,,,,,,,,,,,,,,,,
,,9161,B,DR,PT,4,5,,0.0 ,,97.2 ,,85.1 ,,9.8 ,,8.8 ,,18.9 ,,50.3 ,
,,9161,B,MB,PT,11,15,,511.3 ,,537.5 ,,513.3 ,,38.5 ,,36.9 ,,427.6 ,,"1,223.3 ",
,,,,Total,,15,20,,511.3 ,,634.7 ,,598.3 ,,48.3 ,,45.7 ,,446.5 ,,"1,273.6 ",
CA,"City of Vallejo Transportation Program (Vallejo Transit, Baylink)",,,,,,,,,,,,,,,,,,,,,
,,9028,B,DR,PT,10,12,,0.0 ,,273.3 ,,250.5 ,,20.4 ,,19.0 ,,36.5 ,,340.3 ,
,,9028,B,FB,PT,2,3,,234.8 ,,241.7 ,,231.9 ,,8.7 ,,8.4 ,,633.1 ,,"16,151.4 ",
,,9028,B,MB,PT,44,70,,"2,409.4 ",,"2,537.6 ",,"2,405.2 ",,123.3 ,Q,115.5 ,,"2,253.2 ",,"13,786.7 ",
,,,,Total,,56,85,,"2,644.2 ",,"3,052.5 ",,"2,887.6 ",,152.3 ,,142.9 ,,"2,922.9 ",,"30,278.4 ",
CA,City of Visalia - Visalia City Coach (VCC),,,,,,,,,,,,,,,,,,,,,
,,9091,B,DR,PT,6,6,,0.0 ,,152.2 ,,144.3 ,,11.8 ,,10.7 ,,34.3 ,,232.4 ,
,,9091,B,MB,PT,19,19,,803.6 ,,833.1 ,,803.6 ,,61.6 ,,56.4 ,,"1,119.0 ",,"4,836.8 ",
,,,,Total,,25,25,,803.6 ,,985.3 ,,947.9 ,,73.4 ,,67.0 ,,"1,153.3 ",,"5,069.2 ",
CA,Culver City Municipal Bus Lines (CityBus),,,,,,,,,,,,,,,,,,,,,
,,9039,A,MB,DO,32,46,,"1,414.8 ",,"1,511.9 ",,"1,419.5 ",,138.4 ,,135.3 ,,"5,398.6 ",,"15,980.8 ",
CA,Eastern Contra Costa Transit Authority (Tri Delta Transit),,,,,,,,,,,,,,,,,,,,,
,,9162,B,DR,PT,16,22,,0.0 ,,507.2 ,,450.0 ,,40.8 ,,36.8 ,,99.9 ,,616.4 ,
,,9162,B,MB,PT,47,60,,"2,258.2 ",,"2,495.7 ",,"2,252.3 ",,174.4 ,,157.3 ,,"2,258.3 ",,"13,617.7 ",
,,,,Total,,63,82,,"2,258.2 ",,"3,002.8 ",,"2,702.3 ",,215.3 ,,194.1 ,,"2,358.2 ",,"14,234.2 ",
CA,Foothill Transit,,,,,,,,,,,,,,,,,,,,,
,,9146,B,MB,PT,256,302,,"12,303.0 ",,"15,953.5 ",,"12,501.3 ",,906.0 ,,760.3 ,,"15,044.1 ",,"100,130.7 ",
CA,Fresno Area Express (FAX),,,,,,,,,,,,,,,,,,,,,
,,9027,B,DR,PT,25,27,,0.0 ,,"1,182.1 ",,"1,015.2 ",,87.8 ,,72.5 ,,169.5 ,,"1,284.2 ",
,,9027,B,MB,DO,84,118,,"3,968.8 ",,"4,320.9 ",,"3,957.5 ",,337.1 ,,302.2 ,,"10,854.9 ",,"30,868.3 ",
,,,,Total,,109,145,,"3,968.8 ",,"5,503.0 ",,"4,972.6 ",,425.0 ,,374.6 ,,"11,024.4 ",,"32,152.5 ",
CA,Golden Empire Transit District (GET),,,,,,,,,,,,,,,,,,,,,
,,9004,A,DR,DO,12,14,,0.0 ,,488.4 ,,438.1 ,,28.7 ,,26.1 ,,59.7 ,,445.1 ,
,,9004,A,MB,DO,65,79,,"3,447.3 ",,"3,659.4 ",,"3,440.6 ",,275.1 ,,267.0 ,,"6,915.5 ",,"30,151.6 ",
,,,,Total,,77,93,,"3,447.3 ",,"4,147.7 ",,"3,878.8 ",,303.7 ,,293.1 ,,"6,975.2 ",,"30,596.7 ",
CA,"Golden Gate Bridge, Highway and Transportation District (GGBHTD)",,,,,,,,,,,,,,,,,,,,,
,,9016,B,DR,PT,30,46,,0.0 ,,"1,076.4 ",,930.6 ,,58.4 ,,49.8 ,,94.3 ,,726.9 ,
,,9016,B,FB,DO,5,6,,184.3 ,,187.4 ,,184.4 ,,13.9 ,,13.7 ,,"1,660.4 ",,"18,814.9 ",
,,9016,B,MB,DO,179,200,,"5,918.9 ",,"6,909.5 ",,"5,912.8 ",,416.3 ,,373.6 ,,"7,938.0 ",,"89,699.4 ",
,,9016,B,MB,PT,8,8,,170.3 ,,349.1 ,,170.1 ,,11.6 ,,7.5 ,,95.8 ,,"2,906.5 ",
,,,,Total,,222,260,,"6,273.5 ",,"8,522.3 ",,"7,197.8 ",,500.2 ,,444.7 ,,"9,788.5 ",,"112,147.7 ",
CA,LACMTA - Small Operators,,,,,,,,,,,,,,,,,,,,,
,,9166,B,DR,PT,189,205,,0.0 ,,"3,738.7 ",Q,"3,358.4 ",Q,332.7 ,Q,292.8 ,Q,"1,073.3 ",,"3,997.5 ",
,,9166,B,MB,PT,153,185,,"4,690.6 ",,"4,933.6 ",,"4,599.3 ",,441.7 ,,407.0 ,,"9,407.5 ",,"20,739.6 ",
,,,,Total,,342,390,,"4,690.6 ",,"8,672.3 ",,"7,957.6 ",,774.4 ,,699.9 ,,"10,480.8 ",,"24,737.1 ",
CA,Laguna Beach Municipal Transit (CLB),,,,,,,,,,,,,,,,,,,,,
,,9119,A,JT,DO,11,12,,0.0 ,,47.1 ,,47.1 ,,7.9 ,,7.9 ,,302.8 ,,328.8 ,
,,9119,A,MB,DO,3,3,,119.6 ,,120.4 ,,119.6 ,,9.3 ,,9.0 ,,97.2 ,,297.9 ,
,,,,Total,,14,15,,119.6 ,,167.5 ,,166.6 ,,17.2 ,,16.9 ,,400.0 ,,626.8 ,
CA,Livermore / Amador Valley Transit Authority (LAVTA),,,,,,,,,,,,,,,,,,,,,
